cod_pagamento,cod_pedido,cod_tipo,data_pag,valor_pago
138,175,3,2025-06-08,1428.27
139,176,3,2024-08-13,727.93
140,177,1,2023-09-04,346.11
141,178,1,2025-02-09,103.7
142,179,1,2025-04-29,1228.32
143,180,2,2024-11-02,262.95
144,182,2,2023-08-14,463.17
145,183,1,2025-05-31,409.12
146,184,2,2023-01-24,138.85
147,185,1,2025-03-07,1097.41
148,186,3,2022-12-28,496.29
149,189,3,2024-03-15,1698.53
150,190,2,2025-04-08,540.96
151,191,1,2023-11-19,1347.49
152,192,2,2025-04-04,153.96
153,193,1,2025-06-22,1613.38
154,194,2,2024-10-21,1550.32
155,195,3,2025-04-28,859.3
156,196,3,2022-12-23,1158.6
157,197,2,2025-02-19,1274.26
158,198,3,2023-07-31,1109.86
159,199,2,2023-06-12,343.34
160,200,2,2025-04-14,700.23
161,201,2,2023-11-18,763.07
162,203,2,2024-09-22,1302.12
163,204,1,2025-03-04,653.4
164,206,2,2024-09-25,487.95
165,207,1,2025-06-07,1461.49
166,208,3,2025-05-26,851.36
167,209,1,2024-07-16,341.98
168,210,2,2024-12-16,357.64
169,211,2,2023-09-07,704.45
170,213,1,2022-10-24,1393.21
171,214,3,2023-01-02,188.28
172,216,1,2024-07-12,1065.09
173,217,1,2023-12-15,50.17
174,218,3,2024-01-02,996.87
175,219,1,2025-04-19,1409.83
176,220,1,2025-01-18,1057.2
177,222,3,2024-06-21,322.02
178,223,2,2025-04-28,667.21
179,225,1,2022-03-30,248.22
180,226,1,2022-10-20,559.08
181,227,1,2022-11-10,1436.21
182,228,2,2022-09-14,142.26
183,229,1,2022-01-08,869.29
184,230,3,2025-03-13,652.92
185,231,2,2025-05-15,581.46
186,232,3,2025-05-14,957.75
187,233,2,2025-04-25,387.48
188,234,1,2024-04-02,295.36
189,235,1,2022-04-23,299.27
190,237,3,2023-10-08,276.2
191,238,2,2025-06-13,2168.99
192,239,2,2024-10-16,922.51
193,240,2,2025-06-08,1708.45
194,241,2,2023-06-18,373.61
195,242,1,2025-02-17,866.93
196,243,2,2025-02-24,69.76
197,244,1,2024-04-13,1150.12
198,245,3,2024-08-06,1386.32
199,246,1,2025-03-28,138.93
200,247,2,2025-06-19,181.56
201,248,3,2024-05-16,826.08
202,249,1,2025-01-23,823.75
203,250,1,2024-04-08,175.8
204,252,1,2025-03-24,333.24
205,253,1,2023-07-17,596.13
206,254,1,2025-05-11,187.59
207,255,2,2023-12-26,449.28
208,256,1,2025-02-23,750.2
209,257,1,2024-02-23,1347.32
210,258,2,2024-03-06,1144.18
211,260,1,2025-03-03,338.05
212,261,3,2022-12-06,288.45
213,262,2,2025-06-12,1408.73
214,263,1,2024-05-09,392.34
215,264,3,2024-01-08,791.43
216,265,2,2025-06-03,175.66
217,266,2,2024-06-07,248.76
218,267,2,2024-03-05,33.97
219,268,1,2024-11-03,1212.04
220,269,2,2025-04-05,431.04
221,270,1,2025-04-14,905.37
222,271,3,2024-02-08,192.16
223,272,3,2025-03-21,1173.36
224,273,2,2024-06-16,287.93
225,275,2,2024-06-11,213.94
226,276,1,2025-06-08,680.96
227,277,2,2025-03-14,270.95
228,278,2,2022-12-22,784.62
229,280,1,2025-06-21,533.97
230,281,1,2025-02-28,2525.76
231,282,2,2025-05-20,461.49
232,283,2,2024-06-02,1457.75
233,284,3,2022-06-23,117.8
234,286,1,2023-01-21,418.97
235,287,2,2024-06-28,1450.08
236,288,2,2024-12-03,109.35
237,289,3,2022-03-23,158.57
238,290,3,2024-02-10,1184.72
239,291,1,2024-08-25,1630.39
240,292,1,2024-06-26,1243.85
241,293,3,2023-04-01,1237.32
242,294,3,2024-08-31,338.92
243,295,2,2025-04-14,834.74
244,296,3,2025-04-19,42.09
245,297,2,2025-04-23,321.75
246,298,1,2025-06-11,856.18
247,299,1,2023-10-05,319.73
248,300,2,2024-09-01,2027.22
249,301,2,2022-12-08,592.94
250,302,3,2025-01-23,390.09
251,306,1,2024-09-14,814.97
252,308,2,2025-01-02,598.36
253,309,3,2023-09-27,667.72
254,313,3,2023-12-20,370.88
255,314,1,2023-02-23,717.12
256,315,1,2023-04-30,126.7
257,316,3,2022-08-12,142.32
258,318,2,2022-08-06,905.7
259,319,3,2023-08-08,475.8
260,320,3,2023-03-30,409.04
261,321,3,2022-12-27,128.84
262,324,2,2023-08-14,189.84
263,326,1,2025-02-04,704.9
264,327,2,2025-01-28,1441.37
265,328,3,2024-11-21,544.75
266,329,1,2025-04-27,639.04
267,330,3,2024-09-12,1185.29
268,331,1,2025-06-08,469.12
269,332,2,2024-02-27,2567.6
270,333,2,2025-05-03,1122.79
271,334,1,2025-04-15,583.68
272,335,2,2024-03-20,892.45
273,337,3,2025-04-01,381.96
274,338,3,2024-01-26,786.7
275,339,3,2023-01-08,647.9
276,340,3,2025-01-25,570.76
277,342,1,2022-07-23,96.99
278,343,2,2024-06-07,223.52
279,344,3,2025-04-28,476.14
280,345,1,2023-12-12,123.85
281,346,3,2023-11-23,439.65
282,347,3,2025-03-30,507.72
283,348,2,2023-12-20,49.54
284,349,1,2025-04-02,1998.31
285,350,3,2024-03-16,391.96
286,351,2,2024-11-27,1069.05
287,352,3,2025-03-28,90.94
288,353,1,2024-06-07,561.66
289,354,1,2022-08-03,606.68
290,355,2,2025-04-04,676.49
291,356,2,2025-06-12,494.6
292,357,3,2025-03-27,132.84
293,358,3,2024-11-20,725.38
294,360,3,2022-10-01,251.63
295,361,1,2022-12-18,1537.69
296,364,1,2022-08-26,582.95
297,365,1,2024-11-27,1066.07
298,366,1,2024-12-21,1064.65
299,367,1,2021-12-29,871.84
300,369,1,2024-10-14,1506.64
301,372,2,2024-06-13,196.24
302,373,1,2024-08-27,589.79
303,374,1,2024-12-04,1044.48
304,375,2,2024-12-26,699.25
305,377,2,2024-11-15,246.8
306,378,3,2025-05-02,410.44
307,379,2,2025-05-04,387.83
308,380,2,2022-11-27,468.57
309,381,3,2023-10-30,1125.01
310,382,2,2023-03-08,1333.74
311,385,3,2024-03-13,983.8
312,386,3,2025-04-30,456.75
313,387,3,2025-04-25,345.25
314,390,2,2024-01-20,1336.64
315,391,2,2024-11-17,1797.69
316,392,2,2025-03-14,868.17
317,393,3,2022-12-09,187.72
318,394,3,2024-07-26,452.32
319,395,1,2025-05-28,902.2
320,396,2,2024-02-18,188.55
321,399,3,2024-09-18,828.61
322,402,3,2025-04-03,340.55
323,403,1,2023-03-13,133.88
324,405,1,2024-09-15,716.75
325,406,2,2024-07-10,306.36
326,407,3,2024-12-20,979.12
327,408,3,2025-05-23,1342.5
328,409,1,2023-08-10,161.18
329,410,1,2023-06-11,180.08
330,411,1,2025-03-11,1224.52
331,412,2,2025-02-24,490.03
332,413,3,2024-05-05,502.8
333,414,3,2025-04-20,270.95
334,415,2,2023-08-25,593.14
335,416,2,2025-05-01,245.96
336,417,1,2025-03-05,1117.05
337,418,3,2023-07-14,348.12
338,419,3,2024-06-28,1690.81
339,420,2,2024-12-13,277.56
340,421,1,2024-12-07,583.46
341,422,3,2024-04-02,591.81
342,423,1,2024-04-04,120.36
343,424,2,2025-04-23,695.56
344,425,2,2023-04-09,1654.6
345,426,1,2025-05-23,1219.07
346,427,3,2024-04-12,483.12
347,428,2,2025-04-04,429.24
348,429,3,2025-03-25,356.52
349,430,3,2024-10-25,393.87
350,432,1,2024-06-08,1282.5
351,434,3,2024-09-09,1109.25
352,435,1,2022-02-16,1518.16
353,436,3,2025-06-16,414.93
354,437,3,2023-04-04,715.79
355,439,3,2023-05-22,787.73
356,440,3,2022-10-13,2163.44
357,441,1,2025-06-21,157.86
358,442,3,2024-08-20,283.23
359,443,2,2024-06-28,2291.87
360,444,2,2025-02-04,565.32
361,446,1,2024-06-24,357.86
362,447,3,2023-09-29,722.1
363,448,3,2023-03-30,861.31
364,449,1,2024-10-13,607.23
365,450,1,2024-06-13,218.93
366,451,2,2025-03-05,149.82
367,454,2,2024-02-22,295.4
368,455,2,2024-03-06,879.36
369,456,3,2024-12-14,813.65
370,457,1,2025-05-23,243.9
371,458,3,2024-01-18,467.89
372,459,2,2024-07-18,1207.4
373,460,1,2024-08-26,1319.0
374,463,3,2025-03-25,118.7
375,464,1,2025-04-13,148.24
376,465,2,2024-03-05,108.96
377,467,3,2025-04-02,237.44
378,468,1,2024-04-24,824.37
379,469,1,2023-02-23,280.67
380,470,3,2022-08-22,1051.06
381,471,1,2025-04-11,1660.1
382,472,3,2024-02-16,222.99
383,473,2,2024-01-12,255.72
384,476,1,2024-03-22,951.14
385,477,2,2025-03-07,1290.25
386,478,3,2023-07-01,1158.85
387,479,1,2024-01-30,1230.97
388,480,2,2025-03-23,747.32
389,482,1,2024-07-28,384.2
390,483,1,2023-07-25,670.71
391,484,1,2022-04-16,1075.17
392,485,2,2024-03-27,268.55
393,486,2,2024-01-15,442.95
394,487,2,2025-04-03,321.05
395,489,3,2025-06-04,208.05
396,490,3,2025-04-25,544.34
397,491,3,2025-02-09,92.0
398,493,2,2024-04-25,1241.76
399,495,2,2023-10-07,523.6
400,496,2,2025-06-02,245.2
401,497,2,2024-05-01,1281.81
402,498,1,2025-06-21,92.55
403,499,1,2024-09-09,563.61
404,501,1,2024-07-16,711.09
405,502,3,2025-01-27,765.3
406,504,3,2024-10-30,602.04
407,505,2,2025-05-09,611.71
408,506,1,2023-05-17,678.84
409,507,1,2025-05-10,319.6
410,508,3,2025-04-23,770.69
411,509,1,2025-06-07,133.86
412,510,3,2024-02-16,534.74
413,511,3,2024-04-09,1559.1
414,513,2,2024-05-21,601.46
415,515,1,2024-06-22,103.1
416,516,2,2025-05-05,281.26
417,517,1,2025-05-25,144.51
418,518,2,2024-07-25,923.42
419,519,1,2025-02-02,348.05
420,520,3,2024-09-24,2041.66
421,521,3,2024-11-11,908.53
422,522,1,2025-03-21,1952.43
423,523,2,2024-02-25,945.84
424,524,1,2024-05-22,243.32
425,525,3,2025-03-13,551.21
426,526,2,2024-12-12,1006.0
427,527,1,2023-05-31,52.95
428,528,1,2025-04-25,830.75
429,529,3,2025-02-18,288.0
430,531,2,2024-09-28,593.0
431,535,3,2024-09-06,336.93
432,537,2,2025-06-20,331.84
433,538,2,2025-06-21,490.2
434,539,2,2025-03-17,265.92
435,540,2,2025-02-14,318.29
436,541,3,2025-01-14,436.0
437,542,3,2024-12-22,149.03
438,544,1,2025-03-22,129.69
439,545,1,2025-03-29,277.38
440,547,3,2024-12-02,775.32
441,548,3,2025-06-21,130.63
442,549,3,2025-06-22,669.72
443,550,3,2024-07-15,312.92
444,551,3,2025-03-15,312.18
445,552,1,2025-03-31,242.32
446,553,1,2024-09-26,482.6
447,554,2,2022-09-22,876.0
448,555,1,2025-01-28,1575.31
449,556,2,2022-10-05,528.88
450,557,2,2025-06-19,244.45
451,558,1,2025-02-04,579.6
452,560,2,2024-08-13,162.72
453,561,1,2024-04-10,704.69
454,562,2,2024-05-24,371.88
455,563,1,2025-02-07,239.68
456,564,2,2024-12-16,25.72
457,565,2,2023-11-03,95.65
458,566,3,2025-04-28,573.39
459,567,3,2023-10-14,160.53
460,568,2,2025-06-18,163.48
461,573,3,2024-04-23,626.85
462,575,3,2025-04-18,328.56
463,576,1,2023-12-29,539.39
464,578,3,2024-03-10,356.49
465,579,1,2024-06-12,903.0
466,580,3,2023-10-26,325.16
467,581,2,2025-01-14,469.59
468,582,3,2025-06-07,1432.55
469,583,1,2023-10-10,1541.03
470,584,1,2023-06-03,513.31
471,585,2,2024-04-03,953.84
472,587,1,2024-08-21,1268.53
473,588,2,2022-06-29,724.31
474,589,1,2023-07-03,713.89
475,590,2,2024-03-08,452.83
476,591,2,2024-03-25,966.23
477,592,2,2024-11-24,419.22
478,594,3,2025-05-04,1074.2
479,595,2,2024-06-10,730.53
480,597,2,2024-07-02,174.7
481,599,2,2024-08-04,593.36
482,600,2,2025-04-09,822.67
483,601,3,2025-06-25,303.97
484,602,1,2023-10-02,663.52
485,604,3,2025-03-07,445.57
486,605,1,2025-06-14,811.02
487,606,2,2023-03-15,86.38
488,607,2,2024-07-17,479.28
489,608,3,2024-09-02,145.67
490,609,1,2025-06-23,199.24
491,610,3,2025-01-14,92.21
492,611,3,2024-07-23,836.2
493,612,3,2024-07-21,1204.21
494,614,2,2024-09-07,165.16
495,615,2,2025-05-27,139.83
496,616,1,2023-11-14,40.27
497,617,1,2024-06-10,50.26
498,618,2,2025-01-26,477.69
499,619,1,2025-01-17,1211.13
500,621,3,2025-06-06,633.1
501,622,1,2025-05-10,1095.71
502,625,3,2025-04-14,635.83
503,626,3,2024-12-09,363.21
504,628,3,2023-07-27,301.89
505,629,3,2023-10-13,171.09
506,630,3,2025-01-30,560.63
507,631,2,2024-09-04,732.44
508,633,3,2025-05-05,1452.88
509,634,3,2023-05-21,730.86
510,635,2,2024-11-13,1081.65
511,637,1,2024-08-20,741.02
512,638,1,2024-08-16,459.5
513,639,3,2025-05-13,305.92
514,640,3,2025-05-03,400.8
515,641,1,2025-03-30,195.86
516,642,2,2025-05-25,112.49
517,643,2,2024-09-07,722.58
518,644,3,2025-05-01,302.03
519,645,3,2025-03-02,1012.4
520,647,1,2025-01-19,757.32
521,648,1,2025-03-02,816.75
522,649,2,2025-03-28,1362.69
523,650,1,2024-05-10,682.46
524,651,3,2023-10-20,480.78
525,652,3,2024-06-15,1115.48
526,653,1,2024-11-08,1417.4
527,655,2,2025-06-14,433.91
528,656,3,2024-03-18,1144.42
529,657,1,2022-07-19,423.57
530,658,3,2024-11-18,248.64
531,659,3,2021-10-21,868.25
532,660,2,2024-03-02,1069.84
533,661,1,2023-01-13,672.72
534,662,2,2024-05-09,326.52
535,663,1,2023-05-20,573.12
536,664,1,2022-08-07,775.9
537,665,2,2025-04-15,309.74
538,666,2,2025-05-15,719.43
539,667,2,2024-03-02,1505.01
540,668,3,2024-11-24,486.16
541,669,3,2024-04-09,203.04
542,670,3,2025-02-17,70.58
543,671,1,2024-08-29,426.06
544,672,1,2023-09-19,755.0
545,674,3,2024-12-05,1998.59
546,675,3,2023-06-16,475.51
547,676,3,2024-08-22,1443.64
548,679,3,2024-12-28,841.8
549,680,3,2024-06-16,960.44
550,681,1,2025-02-11,458.16
551,682,3,2023-08-07,222.32
552,684,3,2024-07-23,1198.59
553,685,1,2025-01-11,707.88
554,688,3,2024-11-20,1130.19
555,689,2,2024-09-17,337.04
556,690,2,2024-06-07,390.28
557,691,2,2024-01-18,1162.22
558,692,2,2024-10-03,415.08
559,693,1,2025-01-20,964.55
560,694,3,2025-05-13,1242.02
561,695,2,2023-09-13,1356.92
562,698,3,2024-08-29,215.64
563,699,2,2025-04-03,317.16
564,700,2,2024-01-20,957.9
565,701,1,2025-05-03,1556.09
566,702,1,2025-03-04,1115.85
567,703,3,2023-08-16,415.62
568,704,2,2025-02-14,181.92
569,705,2,2024-02-24,642.8
570,708,3,2024-06-22,131.22
571,711,1,2024-06-30,739.83
572,712,1,2023-01-23,620.08
573,713,3,2024-11-26,583.55
574,714,1,2023-05-19,92.44
575,715,3,2024-07-19,602.13
576,717,2,2024-07-04,784.5
577,718,2,2025-02-11,578.05
578,719,2,2024-03-15,594.96
579,720,1,2024-11-16,352.95
580,721,1,2025-06-21,443.78
581,722,2,2024-05-03,207.92
582,723,2,2024-04-19,696.68
583,724,3,2024-04-14,1024.76
584,725,1,2025-03-07,984.39
585,726,3,2023-07-11,918.44
586,727,2,2025-06-21,676.67
587,728,2,2024-08-31,239.1
588,729,3,2024-02-17,761.62
589,730,2,2023-08-10,1143.3
590,731,1,2025-02-21,491.55
591,732,3,2025-06-16,261.28
592,733,3,2024-10-14,465.15
593,734,2,2025-06-20,152.38
594,735,1,2023-09-07,733.24
595,736,1,2023-03-22,127.89
596,737,2,2024-11-16,727.12
597,738,2,2023-03-21,744.08
598,739,2,2025-03-01,756.55
599,740,1,2023-09-08,1534.75
600,741,1,2025-06-24,285.68
601,743,2,2023-06-13,415.36
602,744,3,2023-11-29,124.14
603,748,2,2023-11-06,612.35
604,749,3,2025-03-16,293.08
605,750,1,2022-01-21,127.63
606,751,1,2023-09-28,356.67
607,752,1,2022-11-03,516.07
608,753,1,2024-10-06,146.08
609,755,1,2025-04-03,98.94
610,758,3,2023-04-18,345.48
611,759,1,2023-02-20,533.19
612,760,2,2023-02-11,1384.58
613,762,2,2025-06-20,63.57
614,764,3,2025-03-06,1109.24
615,765,1,2022-09-10,457.6
616,766,2,2025-06-03,703.87
617,767,1,2023-05-24,586.61
618,768,1,2024-03-26,1244.89
619,769,2,2025-06-06,507.45
620,770,1,2025-03-16,525.8
621,771,2,2024-04-11,1098.04
622,772,2,2025-06-05,109.12
623,773,2,2024-03-14,327.1
624,774,3,2025-05-15,55.56
625,775,3,2025-02-22,618.66
626,776,2,2023-10-01,783.48
627,777,1,2022-12-02,1553.55
628,778,1,2024-11-11,708.56
629,779,2,2025-03-31,998.73
630,780,2,2025-04-23,882.12
631,782,2,2025-06-16,564.81
632,783,3,2023-07-05,348.65
633,784,1,2025-05-25,742.35
634,785,2,2023-07-24,203.6
635,786,2,2024-04-17,363.69
636,787,3,2025-05-04,738.96
637,788,2,2024-09-13,568.79
638,789,3,2025-04-13,96.43
639,791,2,2025-04-30,257.43
640,792,2,2024-12-24,957.3
641,793,2,2025-01-30,1313.04
642,794,1,2025-03-05,555.98
643,795,1,2024-05-11,803.91
644,796,2,2023-04-24,554.12
645,799,2,2024-11-03,651.39
646,800,2,2024-07-30,749.8
647,801,1,2025-01-01,1077.21
648,802,3,2023-01-06,683.42
649,803,3,2024-08-31,94.38
650,804,2,2023-06-19,801.96
651,805,3,2025-04-03,50.14
652,807,3,2024-10-26,343.93
653,808,3,2023-04-19,717.42
654,809,2,2024-12-27,1283.71
655,811,1,2025-05-17,383.93
656,813,1,2024-01-21,1156.08
657,814,1,2025-05-02,319.75
658,815,3,2024-06-03,686.7
659,816,2,2024-07-23,792.85
660,817,2,2025-06-21,253.81
661,818,3,2025-06-09,578.64
662,819,3,2025-04-11,175.35
663,821,1,2024-03-31,589.53
664,822,3,2023-12-16,1523.34
665,824,1,2024-10-27,259.56
666,825,1,2024-08-19,496.34
667,826,1,2024-12-16,381.16
668,827,3,2024-10-24,1045.33
669,828,3,2023-08-13,635.92
670,829,3,2024-05-17,179.77
671,830,3,2024-04-16,1040.33
672,831,2,2024-06-07,237.57
673,832,2,2024-03-13,672.95
674,835,2,2023-12-06,1080.67
675,838,2,2022-10-20,208.92
676,840,1,2024-01-06,493.47
677,841,3,2022-05-26,931.43
678,842,1,2022-05-30,417.25
679,843,3,2024-05-19,1862.61
680,844,1,2024-01-06,826.67
681,845,1,2025-04-06,349.08
682,846,2,2024-12-07,1310.78
683,848,3,2024-06-30,1866.76
684,849,1,2025-06-17,202.64
685,850,2,2023-04-26,182.37
686,851,2,2025-06-05,1019.67
687,852,2,2024-10-10,674.7
688,853,2,2025-02-27,557.6
689,854,2,2024-05-13,314.55
690,855,3,2023-05-30,418.7
691,856,3,2024-12-16,67.42
692,858,3,2022-03-23,309.24
693,859,2,2025-05-11,345.64
694,861,1,2025-03-19,790.46
695,862,1,2024-04-07,820.2
696,863,3,2024-07-20,52.26
697,864,2,2023-12-09,487.76
698,865,1,2023-08-23,740.89
699,866,3,2025-04-05,780.82
700,867,3,2025-05-29,491.0
701,869,1,2023-06-11,604.52
702,871,1,2021-09-28,97.11
703,873,3,2025-01-22,1000.99
704,874,3,2025-05-08,574.44
705,875,3,2025-06-22,679.6
706,876,1,2025-01-15,261.7
707,877,3,2024-04-21,377.88
708,878,2,2024-02-05,744.9
709,880,3,2024-09-13,348.32
710,881,3,2025-01-18,569.28
711,882,1,2025-05-11,686.1
712,883,1,2025-06-22,287.24
713,884,2,2023-07-03,979.04
714,885,2,2024-08-31,163.47
715,888,3,2024-08-01,110.74
716,889,1,2022-07-02,362.1
717,890,2,2025-05-01,546.15
718,892,2,2025-06-14,221.05
719,893,3,2025-06-08,993.63
720,894,2,2023-02-12,88.62
721,895,3,2024-06-11,739.38
722,896,3,2025-02-13,386.07
723,897,2,2023-11-18,1213.85
724,898,2,2024-10-01,532.48
725,899,3,2023-06-19,661.14
726,900,3,2025-03-24,452.55
727,902,3,2024-06-19,1431.56
728,903,3,2025-01-17,757.15
729,904,1,2024-09-22,957.83
730,905,1,2025-02-07,696.8
731,906,1,2024-12-23,1197.19
732,908,2,2023-01-07,1006.87
733,910,3,2022-12-15,265.14
734,911,1,2025-02-24,124.38
735,913,2,2025-04-30,576.73
736,914,2,2024-11-08,753.96
737,915,3,2024-07-02,518.4
738,916,3,2025-05-10,1255.19
739,917,3,2025-02-15,866.86
740,918,1,2023-08-27,1574.74
741,919,2,2022-01-03,550.96
742,920,2,2023-11-12,621.4
743,921,3,2024-03-16,1066.88
744,922,3,2023-09-20,121.03
745,923,1,2024-11-14,994.93
746,924,2,2025-02-11,476.88
747,925,2,2023-10-17,409.05
748,926,3,2023-06-02,302.48
749,927,2,2025-04-26,697.31
750,928,3,2025-06-06,483.91
751,929,3,2024-10-07,1471.97
752,930,3,2024-11-06,666.81
753,931,3,2024-10-18,765.0
754,932,3,2023-06-12,1021.5
755,933,3,2024-12-17,906.92
756,934,2,2024-01-02,171.93
757,936,3,2025-04-03,563.47
758,937,2,2023-08-04,310.89
759,938,2,2024-11-28,507.65
760,939,1,2025-05-23,177.65
761,941,3,2023-12-31,516.36
762,942,1,2023-07-17,1270.36
763,944,1,2024-08-15,258.79
764,946,3,2024-03-04,418.38
765,947,2,2023-12-15,783.16
766,948,3,2024-07-11,66.19
767,949,2,2024-11-30,409.37
768,950,1,2024-12-02,173.56
769,952,2,2025-04-27,441.39
770,953,2,2025-05-27,273.8
771,954,1,2025-05-10,554.52
772,955,3,2023-12-11,1203.77
773,958,3,2024-09-25,219.78
774,959,2,2023-08-18,825.07
775,960,1,2023-10-30,661.75
776,961,3,2025-06-23,565.3
777,963,1,2025-03-28,166.17
778,964,2,2023-03-17,77.38
779,965,1,2025-05-26,1366.93
780,967,2,2025-03-24,655.2
781,970,2,2024-12-21,228.9
782,972,3,2025-01-01,1102.45
783,973,2,2025-02-20,1264.64
784,974,1,2024-03-08,465.5
785,975,2,2024-01-03,83.25
786,976,3,2025-05-21,981.72
787,977,1,2025-06-08,471.76
788,978,2,2025-06-11,587.9
789,979,3,2024-09-08,334.36
790,981,3,2025-04-28,587.85
791,982,2,2023-08-17,667.92
792,983,2,2025-02-20,1103.32
793,984,1,2025-03-18,223.62
794,986,1,2022-01-22,1075.61
795,990,3,2024-09-29,989.56
796,991,3,2024-11-14,771.24
797,992,2,2024-03-04,454.08
798,993,3,2025-01-16,815.34
799,994,1,2022-12-07,123.73
800,995,1,2024-04-29,930.05
801,996,2,2024-09-06,627.75
802,997,1,2023-02-18,613.6
803,1002,3,2025-03-20,506.15
804,1003,1,2022-10-19,638.16
805,1004,3,2024-05-25,293.42
806,1005,2,2023-06-15,230.16
807,1006,1,2022-04-14,330.39
808,1007,2,2023-07-13,1282.04
809,1008,3,2024-04-12,1962.14
