cod_pedido,cod_cliente,data_pedido,status
144,12777,2024-12-26,Pago
145,936,2022-10-29,Pendente
146,15280,2023-08-18,Pendente
147,20308,2022-09-10,Pago
148,9616,2021-11-04,Pago
149,12329,2023-09-06,Cancelado
150,19287,2024-10-01,Pago
151,15940,2022-07-28,Pendente
152,3866,2022-02-08,Cancelado
153,5283,2021-09-08,Pago
154,23484,2024-09-23,Cancelado
155,23666,2024-03-26,Pendente
156,12597,2025-04-17,Cancelado
157,9350,2022-06-15,Cancelado
158,24842,2023-12-08,Pendente
159,12736,2024-01-16,Cancelado
160,7427,2023-06-15,Cancelado
161,20879,2022-09-02,Pendente
162,6771,2025-03-23,Pago
163,6482,2022-05-02,Cancelado
164,21262,2023-11-19,Pendente
165,21205,2024-08-16,Cancelado
166,10565,2023-03-29,Pendente
167,24604,2023-11-03,Pago
168,14978,2022-08-17,Pendente
169,22963,2024-06-08,Pago
170,21492,2021-11-03,Pendente
171,11914,2023-02-11,Pago
172,17993,2023-01-17,Pago
173,2131,2023-10-28,Pendente
174,15622,2021-06-28,Pendente
175,19028,2025-01-14,Pendente
176,21362,2023-05-06,Cancelado
177,19044,2021-07-04,Pendente
178,10050,2024-10-07,Cancelado
179,11223,2023-06-24,Cancelado
180,23425,2024-10-15,Cancelado
181,3450,2022-12-16,Pago
182,24087,2022-12-25,Pago
183,17313,2024-09-16,Pendente
184,2928,2022-05-15,Pago
185,15492,2025-01-03,Cancelado
186,13826,2021-12-08,Pendente
187,11377,2022-12-03,Cancelado
188,6385,2024-07-24,Cancelado
189,20785,2023-04-03,Pendente
190,16509,2022-02-13,Pago
191,15252,2022-03-24,Cancelado
192,12319,2025-01-11,Pendente
193,19864,2025-06-14,Pago
194,2218,2022-03-22,Pago
195,19115,2023-12-21,Cancelado
196,1897,2021-10-02,Pendente
197,2765,2024-12-18,Cancelado
198,8699,2022-09-27,Cancelado
199,4377,2022-10-03,Cancelado
200,22735,2023-02-16,Cancelado
201,1499,2023-09-16,Pendente
202,9699,2022-07-01,Pago
203,11469,2024-07-02,Pago
204,4890,2021-09-03,Pendente
205,17700,2021-11-16,Cancelado
206,8473,2024-08-29,Pago
207,2173,2025-04-12,Cancelado
208,19580,2024-12-24,Cancelado
209,15679,2024-01-28,Cancelado
210,3033,2023-04-29,Pago
211,11779,2022-11-13,Pago
212,9096,2022-04-30,Cancelado
213,20018,2022-03-06,Cancelado
214,8856,2021-11-15,Cancelado
215,15004,2023-12-17,Pago
216,3271,2024-02-21,Pago
217,3193,2021-11-05,Pendente
218,12134,2022-01-23,Pago
219,12764,2024-08-18,Pago
220,20448,2024-08-25,Pago
221,5173,2023-04-27,Pendente
222,12383,2023-08-28,Pago
223,16954,2024-08-31,Pendente
224,21920,2023-10-19,Cancelado
225,24694,2021-11-04,Pendente
226,9034,2022-06-25,Pago
227,12948,2022-08-02,Cancelado
228,20752,2021-09-24,Pago
229,15652,2021-10-07,Pendente
230,8307,2025-01-24,Cancelado
231,2897,2024-08-09,Cancelado
232,1412,2025-04-01,Pendente
233,15336,2023-07-16,Pago
234,11968,2022-04-18,Pago
235,131,2022-04-23,Pendente
236,14391,2022-06-03,Pago
237,13812,2021-10-26,Pendente
238,5500,2025-05-17,Pago
239,22641,2024-04-06,Pendente
240,2758,2025-06-06,Cancelado
241,21918,2022-02-18,Cancelado
242,19327,2024-04-12,Pago
243,14011,2023-04-09,Pago
244,2735,2024-02-25,Pendente
245,17523,2024-07-16,Cancelado
246,8906,2024-08-05,Pendente
247,18597,2025-05-27,Pago
248,21287,2022-09-03,Pago
249,24712,2024-08-01,Pago
250,13958,2023-12-21,Cancelado
251,23017,2024-04-05,Pago
252,20510,2024-09-20,Cancelado
253,14144,2021-12-05,Pendente
254,13826,2024-07-23,Cancelado
255,14499,2023-01-07,Cancelado
256,18898,2024-09-06,Cancelado
257,21097,2023-10-15,Pendente
258,18408,2023-08-07,Pago
259,13672,2023-03-29,Pago
260,20464,2025-02-04,Pendente
261,1967,2022-11-18,Pago
262,23630,2025-04-17,Cancelado
263,13905,2022-10-28,Cancelado
264,2179,2023-04-19,Cancelado
265,7166,2025-05-05,Pago
266,5387,2023-09-11,Pendente
267,9626,2023-12-18,Pendente
268,22301,2021-10-20,Pendente
269,22393,2025-03-19,Pendente
270,19238,2024-07-15,Pago
271,8469,2021-11-26,Pago
272,17121,2024-12-19,Pendente
273,2232,2023-08-09,Pago
274,305,2025-06-25,Cancelado
275,23767,2022-11-01,Pago
276,9171,2025-06-01,Pago
277,7369,2022-12-13,Pago
278,23592,2021-09-07,Pendente
279,21541,2024-09-21,Pendente
280,21965,2025-05-06,Pago
281,23257,2024-12-03,Pendente
282,10655,2025-04-27,Pago
283,17897,2024-01-31,Pendente
284,5317,2021-08-06,Cancelado
285,19419,2021-10-06,Pendente
286,8710,2022-09-18,Pago
287,22323,2023-10-29,Cancelado
288,17336,2022-12-29,Cancelado
289,5114,2022-02-16,Cancelado
290,2671,2024-01-24,Pago
291,4342,2024-07-08,Pago
292,5361,2023-02-27,Pago
293,13367,2022-05-16,Pendente
294,868,2023-06-01,Pendente
295,9214,2025-04-06,Cancelado
296,6888,2024-09-21,Pendente
297,17891,2022-04-15,Pendente
298,19368,2023-01-25,Pendente
299,755,2021-09-20,Pago
300,3653,2023-09-19,Cancelado
301,1254,2021-12-31,Pago
302,3745,2024-09-28,Cancelado
303,18180,2023-09-26,Pendente
304,17131,2021-10-17,Cancelado
305,11579,2022-10-06,Pago
306,14517,2024-06-03,Pago
307,5660,2025-03-24,Pendente
308,6585,2024-11-21,Cancelado
309,16608,2022-12-25,Pago
310,523,2024-02-17,Pago
311,13460,2022-05-13,Cancelado
312,11242,2024-06-22,Cancelado
313,12177,2023-04-16,Cancelado
314,13914,2021-10-23,Pago
315,9507,2023-02-08,Pendente
316,12139,2021-12-05,Cancelado
317,4831,2023-11-21,Pago
318,16486,2022-02-10,Pendente
319,15825,2022-10-30,Pendente
320,17292,2021-11-20,Pendente
321,7370,2022-01-26,Pago
322,2116,2024-10-11,Pago
323,3018,2023-11-02,Pendente
324,11680,2023-02-10,Pago
325,4077,2024-12-11,Pago
326,24884,2022-04-02,Pago
327,19242,2024-12-29,Pago
328,8695,2023-10-28,Pendente
329,10228,2025-03-28,Pago
330,23941,2024-03-30,Pendente
331,15011,2024-11-02,Pago
332,10142,2022-05-28,Pago
333,2162,2022-01-26,Pago
334,22797,2023-04-08,Pendente
335,7305,2023-08-29,Cancelado
336,16940,2023-12-28,Pago
337,17771,2023-09-09,Cancelado
338,15071,2022-01-05,Cancelado
339,19490,2022-07-11,Pendente
340,5683,2024-09-21,Pago
341,13128,2025-03-16,Pendente
342,1772,2021-12-03,Pago
343,12682,2022-04-23,Pendente
344,3739,2024-05-19,Pendente
345,8922,2022-12-10,Pago
346,12822,2023-10-25,Cancelado
347,19324,2023-09-10,Cancelado
348,6443,2022-11-11,Pago
349,11614,2022-10-14,Pago
350,14693,2022-05-04,Cancelado
351,17257,2023-10-26,Pendente
352,21030,2024-11-17,Pago
353,11513,2022-10-12,Cancelado
354,14536,2021-07-12,Pago
355,13576,2024-07-24,Pendente
356,4818,2022-02-13,Pago
357,11403,2023-07-01,Pago
358,11709,2023-01-30,Pendente
359,15201,2025-01-05,Pago
360,18284,2022-08-04,Pago
361,2807,2022-05-26,Pago
362,13763,2023-10-29,Pendente
363,16383,2023-01-11,Cancelado
364,15214,2022-01-04,Pago
365,4666,2023-11-28,Pago
366,19223,2024-07-05,Pendente
367,20278,2021-08-14,Cancelado
368,20042,2023-12-23,Cancelado
369,13246,2024-03-20,Pendente
370,12619,2021-06-30,Pago
371,5241,2022-01-09,Pendente
372,15933,2023-09-21,Pendente
373,7466,2023-02-17,Pago
374,7469,2024-11-26,Pendente
375,5027,2024-07-06,Pendente
376,10093,2023-03-22,Pendente
377,16095,2024-06-25,Cancelado
378,20416,2025-04-02,Cancelado
379,23452,2025-01-24,Cancelado
380,12603,2022-11-18,Cancelado
381,23365,2022-02-25,Cancelado
382,3507,2022-09-19,Pago
383,17292,2023-07-24,Pago
384,2157,2023-02-13,Pendente
385,4964,2021-10-19,Cancelado
386,19215,2025-02-02,Cancelado
387,1859,2025-02-02,Cancelado
388,16092,2023-08-09,Pendente
389,2947,2021-09-30,Pago
390,24295,2021-09-06,Cancelado
391,885,2024-09-18,Cancelado
392,18818,2023-10-29,Pago
393,8070,2022-11-13,Pago
394,5109,2021-08-28,Pendente
395,16070,2025-05-18,Pago
396,13113,2022-10-04,Cancelado
397,14733,2021-12-16,Pendente
398,12159,2021-09-04,Pago
399,18696,2023-04-29,Pendente
400,16504,2025-04-30,Cancelado
401,4587,2024-01-07,Pago
402,18715,2023-04-14,Pago
403,6259,2022-04-12,Pago
404,15842,2023-12-17,Pendente
405,17119,2023-12-02,Pendente
406,23769,2024-02-21,Pago
407,19656,2024-06-30,Pago
408,6602,2025-01-28,Cancelado
409,18376,2023-05-31,Pendente
410,5099,2021-07-13,Pago
411,5006,2022-06-10,Pendente
412,7188,2024-08-05,Pago
413,18447,2023-10-15,Pago
414,22225,2025-02-09,Pago
415,24413,2022-10-12,Pago
416,11113,2025-04-23,Pago
417,8898,2022-07-20,Cancelado
418,17505,2022-08-09,Pago
419,12020,2021-10-08,Cancelado
420,23689,2024-03-03,Pago
421,3004,2024-10-30,Pago
422,20756,2022-03-16,Pago
423,13772,2024-03-08,Cancelado
424,23688,2022-10-09,Pendente
425,1795,2023-03-16,Pago
426,22592,2025-02-08,Pago
427,21694,2024-04-07,Pago
428,7070,2024-11-25,Pendente
429,24712,2024-02-26,Pago
430,6408,2023-08-12,Cancelado
431,22937,2021-10-01,Pendente
432,12197,2024-01-31,Cancelado
433,13359,2022-08-27,Cancelado
434,15670,2023-11-11,Cancelado
435,6021,2021-10-17,Pago
436,19997,2024-11-02,Pago
437,20394,2022-03-22,Pendente
438,6553,2023-07-23,Cancelado
439,5358,2022-11-26,Pendente
440,18330,2022-02-04,Pago
441,8523,2024-03-07,Cancelado
442,2997,2022-02-13,Pendente
443,19538,2023-01-14,Pendente
444,7338,2024-12-10,Pendente
445,23030,2021-07-02,Pago
446,16793,2023-05-29,Pago
447,24003,2022-01-24,Pago
448,16060,2021-08-16,Cancelado
449,22970,2023-06-26,Pendente
450,24772,2023-07-12,Pendente
451,22625,2021-09-03,Pendente
452,21258,2021-10-10,Cancelado
453,4174,2022-12-01,Cancelado
454,4637,2022-09-30,Pendente
455,20724,2023-04-22,Pago
456,2672,2024-09-06,Pendente
457,6707,2022-07-11,Cancelado
458,8273,2023-04-16,Pendente
459,22952,2023-03-25,Pago
460,10886,2022-03-27,Pendente
461,2502,2021-08-29,Pendente
462,2462,2024-10-02,Pago
463,15798,2024-10-20,Pendente
464,24993,2024-08-15,Cancelado
465,5333,2023-02-08,Cancelado
466,20449,2024-01-03,Pendente
467,24087,2023-06-20,Pago
468,11781,2022-07-31,Pago
469,22792,2022-02-01,Pendente
470,9867,2021-08-16,Cancelado
471,20538,2022-01-15,Pago
472,379,2022-08-28,Cancelado
473,11790,2021-10-03,Pago
474,19221,2024-12-14,Pendente
475,1402,2023-04-28,Pendente
476,5652,2021-11-08,Pago
477,10503,2023-04-08,Pendente
478,9356,2022-02-10,Pendente
479,20342,2023-12-28,Pago
480,16684,2023-01-04,Pendente
481,10178,2025-01-19,Cancelado
482,10541,2023-09-30,Pago
483,6111,2023-03-06,Pendente
484,1638,2021-12-13,Cancelado
485,14739,2023-01-20,Pago
486,14183,2022-01-26,Cancelado
487,18100,2024-08-29,Cancelado
488,16167,2024-05-14,Pago
489,3842,2025-01-04,Cancelado
490,8032,2025-04-20,Cancelado
491,14492,2022-08-14,Cancelado
492,771,2022-07-03,Pendente
493,13544,2022-11-13,Cancelado
494,5435,2022-11-10,Pendente
495,6081,2022-05-07,Pago
496,11820,2025-04-30,Cancelado
497,10233,2022-06-03,Pendente
498,11375,2024-10-27,Pago
499,24329,2024-08-14,Pendente
500,24867,2022-03-09,Pago
501,3815,2023-06-29,Pendente
502,7197,2022-02-06,Cancelado
503,5955,2024-03-05,Cancelado
504,17900,2023-12-17,Pago
505,21498,2025-02-03,Cancelado
506,137,2022-07-21,Pendente
507,19628,2024-11-07,Cancelado
508,4504,2022-01-11,Pago
509,7998,2025-02-25,Pendente
510,20555,2022-12-20,Pago
511,14017,2024-03-29,Pendente
512,1814,2025-01-10,Cancelado
513,16092,2023-12-21,Cancelado
514,23038,2024-09-09,Cancelado
515,21977,2022-04-09,Pendente
516,9078,2023-08-05,Pago
517,11119,2024-10-24,Cancelado
518,8235,2024-04-24,Pago
519,14312,2024-10-03,Pendente
520,18548,2023-10-25,Cancelado
521,20925,2024-07-14,Pago
522,16292,2024-07-18,Pago
523,18417,2022-12-20,Pago
524,21239,2023-11-18,Pendente
525,4710,2024-02-20,Pago
526,15419,2022-07-14,Pendente
527,9585,2022-10-25,Cancelado
528,2551,2023-01-11,Pago
529,22852,2024-02-20,Pago
530,4402,2022-07-11,Cancelado
531,21394,2023-12-19,Pendente
532,9006,2021-12-13,Cancelado
533,8058,2023-03-11,Pendente
534,3838,2025-05-04,Cancelado
535,21402,2024-07-21,Pago
536,20607,2022-06-02,Pago
537,16953,2022-05-13,Pago
538,15660,2022-05-13,Pendente
539,11612,2024-09-08,Pendente
540,7778,2024-04-08,Cancelado
541,3387,2023-07-28,Pago
542,9499,2023-12-10,Pago
543,16159,2023-02-14,Cancelado
544,2728,2024-04-29,Pendente
545,6026,2021-10-16,Pago
546,11080,2022-02-10,Cancelado
547,6600,2022-12-08,Cancelado
548,5461,2025-06-19,Cancelado
549,24110,2025-06-06,Pago
550,10650,2022-01-28,Pendente
551,13017,2023-08-03,Pago
552,7851,2024-12-10,Pago
553,11446,2024-09-05,Pago
554,11960,2021-09-15,Pendente
555,24364,2023-09-09,Pendente
556,1094,2022-03-05,Pendente
557,16514,2025-06-15,Cancelado
558,18289,2025-01-26,Pendente
559,15842,2023-06-26,Pendente
560,21308,2022-11-07,Cancelado
561,14433,2022-01-11,Pendente
562,21072,2021-08-08,Cancelado
563,23940,2024-04-02,Pago
564,132,2022-08-07,Cancelado
565,23517,2021-12-07,Pendente
566,22140,2025-03-07,Pendente
567,7466,2021-11-12,Cancelado
568,13958,2025-06-17,Pago
569,5833,2022-01-31,Pendente
570,13440,2024-03-25,Pago
571,11422,2021-09-06,Pendente
572,22338,2024-06-17,Pago
573,11244,2022-06-18,Cancelado
574,15848,2022-08-14,Pendente
575,6780,2024-05-31,Pendente
576,18332,2022-09-01,Pendente
577,16960,2024-11-07,Cancelado
578,13067,2023-05-27,Cancelado
579,14250,2024-01-31,Cancelado
580,8534,2023-09-29,Pendente
581,12396,2024-03-12,Cancelado
582,13975,2024-12-26,Cancelado
583,1386,2023-05-14,Cancelado
584,10495,2021-10-26,Pago
585,14166,2024-02-13,Pago
586,4709,2024-11-14,Cancelado
587,19270,2023-10-26,Pendente
588,5645,2021-11-26,Pago
589,11868,2021-08-19,Pendente
590,13228,2021-07-21,Cancelado
591,11465,2024-03-08,Pago
592,11591,2023-05-26,Pendente
593,17875,2024-09-25,Cancelado
594,19158,2024-03-16,Pago
595,11908,2023-10-14,Pago
596,21265,2024-09-20,Pendente
597,9461,2023-11-01,Pendente
598,14989,2023-02-03,Cancelado
599,483,2022-08-27,Pendente
600,23139,2025-02-27,Pago
601,22344,2025-06-19,Pago
602,3378,2023-05-13,Cancelado
603,14216,2024-04-07,Pendente
604,5382,2024-08-21,Pendente
605,12590,2023-11-19,Pago
606,2323,2022-03-15,Pago
607,22738,2023-01-24,Cancelado
608,20445,2024-01-19,Pendente
609,23703,2025-01-25,Pendente
610,11483,2022-09-01,Cancelado
611,18712,2023-12-24,Pendente
612,16930,2021-12-03,Pendente
613,11141,2022-07-08,Cancelado
614,1471,2023-11-10,Cancelado
615,13060,2025-03-30,Cancelado
616,13427,2023-09-14,Pendente
617,12460,2023-12-17,Pago
618,8975,2024-11-03,Cancelado
619,11403,2025-01-09,Pago
620,22548,2024-08-28,Pendente
621,17342,2025-03-27,Pendente
622,22798,2024-06-13,Pago
623,4457,2024-08-16,Pendente
624,22125,2021-07-12,Pendente
625,23434,2021-10-05,Cancelado
626,1204,2024-08-29,Pendente
627,791,2023-04-15,Pendente
628,20344,2021-09-07,Cancelado
629,8249,2023-10-05,Pendente
630,17374,2021-12-24,Cancelado
631,16383,2024-01-05,Pendente
632,13596,2022-04-07,Cancelado
633,18365,2022-02-08,Pendente
634,12662,2022-11-25,Pago
635,1062,2024-11-11,Pendente
636,4398,2022-05-10,Pago
637,220,2022-12-25,Cancelado
638,16797,2024-05-31,Cancelado
639,2326,2025-03-26,Pago
640,22530,2024-10-06,Pendente
641,21119,2024-01-05,Pendente
642,2600,2024-08-25,Pago
643,3566,2023-08-05,Pendente
644,3351,2025-05-01,Pendente
645,21303,2024-10-24,Cancelado
646,16896,2022-03-31,Pago
647,14135,2021-09-01,Pendente
648,4017,2022-10-26,Pendente
649,20113,2024-06-17,Pendente
650,3879,2023-06-26,Cancelado
651,15588,2022-07-11,Pago
652,3532,2021-09-25,Pendente
653,14177,2023-11-01,Pendente
654,20082,2022-11-29,Pendente
655,2700,2025-05-30,Pago
656,16470,2023-06-17,Pago
657,18599,2022-06-09,Pendente
658,22315,2024-03-11,Cancelado
659,10411,2021-07-13,Pendente
660,5717,2022-12-03,Pago
661,8258,2022-08-02,Pago
662,21906,2022-10-16,Cancelado
663,7936,2022-06-02,Pago
664,5348,2021-09-06,Cancelado
665,10174,2025-03-23,Cancelado
666,22353,2025-01-27,Pendente
667,1649,2022-06-14,Pendente
668,831,2022-07-07,Cancelado
669,8498,2023-01-01,Pago
670,4112,2023-05-05,Pendente
671,7734,2024-05-10,Pendente
672,11124,2023-04-18,Cancelado
673,46,2023-04-14,Cancelado
674,13749,2022-04-08,Pendente
675,13257,2021-11-20,Cancelado
676,15223,2024-04-19,Pago
677,10164,2021-08-09,Pendente
678,6665,2022-09-24,Cancelado
679,8254,2022-02-17,Pago
680,6063,2023-06-27,Pago
681,5875,2025-01-20,Pendente
682,17548,2022-12-03,Cancelado
683,21322,2022-07-05,Pago
684,1452,2024-01-13,Pendente
685,2075,2023-06-09,Pendente
686,23256,2024-02-14,Pendente
687,12672,2024-12-29,Pendente
688,14130,2022-02-26,Pago
689,8758,2024-08-10,Pago
690,19630,2022-05-19,Pendente
691,13443,2021-10-25,Cancelado
692,24272,2022-01-28,Pendente
693,1479,2023-12-13,Pago
694,13064,2025-04-13,Pendente
695,5541,2023-03-08,Pendente
696,22340,2021-07-18,Cancelado
697,18551,2023-07-20,Cancelado
698,18835,2023-12-25,Pago
699,12944,2025-02-05,Cancelado
700,10349,2021-09-27,Pendente
701,6159,2023-06-28,Pendente
702,6538,2023-02-04,Cancelado
703,17272,2023-02-21,Cancelado
704,21409,2024-02-17,Cancelado
705,7164,2023-01-04,Pendente
706,1591,2022-10-03,Pendente
707,17035,2021-08-17,Pendente
708,5129,2023-04-09,Pendente
709,13192,2024-04-28,Pago
710,1084,2022-06-02,Pendente
711,857,2022-08-07,Cancelado
712,1702,2021-12-12,Pendente
713,681,2024-04-18,Cancelado
714,19718,2022-06-23,Pago
715,10552,2023-01-09,Cancelado
716,20582,2021-09-04,Cancelado
717,23491,2024-02-03,Cancelado
718,4808,2023-09-05,Cancelado
719,21214,2022-08-03,Pendente
720,14299,2022-04-07,Pendente
721,5083,2025-06-20,Cancelado
722,23275,2023-10-30,Pendente
723,15259,2023-11-24,Pendente
724,19802,2022-01-05,Pago
725,15398,2024-01-11,Pago
726,18737,2022-09-16,Pago
727,12038,2023-02-01,Pago
728,11644,2024-08-29,Pago
729,8103,2022-11-17,Pendente
730,5197,2023-05-29,Pago
731,17806,2025-02-05,Pago
732,19076,2025-06-03,Pendente
733,18912,2023-03-12,Cancelado
734,7781,2025-05-19,Cancelado
735,22242,2021-10-06,Pago
736,11288,2022-10-12,Pendente
737,5202,2023-05-12,Pago
738,10631,2023-01-18,Pendente
739,22513,2021-10-15,Pendente
740,3823,2023-08-31,Pendente
741,1055,2025-05-10,Pago
742,7651,2022-11-20,Pago
743,10101,2023-04-05,Pago
744,8302,2023-03-28,Cancelado
745,702,2022-06-11,Cancelado
746,8133,2022-04-10,Pago
747,4559,2022-06-21,Cancelado
748,14065,2022-07-04,Pendente
749,8769,2024-10-03,Pendente
750,19590,2021-11-03,Pendente
751,3395,2021-10-17,Pago
752,10306,2021-11-15,Cancelado
753,14847,2024-03-11,Cancelado
754,12890,2023-02-01,Pendente
755,81,2023-11-09,Pendente
756,23811,2025-03-29,Pago
757,22502,2024-02-21,Pendente
758,12932,2023-02-22,Cancelado
759,8225,2022-10-13,Pendente
760,17841,2021-09-20,Pendente
761,6397,2023-06-01,Pago
762,3713,2025-06-03,Pago
763,23544,2022-02-05,Pendente
764,6574,2023-01-15,Cancelado
765,16377,2022-05-08,Pendente
766,17481,2025-02-07,Cancelado
767,6304,2022-05-27,Cancelado
768,15325,2021-07-20,Pago
769,7986,2025-01-03,Pago
770,6302,2024-01-17,Pago
771,11301,2022-11-22,Pendente
772,15740,2024-06-06,Cancelado
773,8175,2023-08-29,Pago
774,12115,2023-06-24,Cancelado
775,10267,2025-02-13,Pendente
776,6934,2023-09-02,Pendente
777,20219,2022-08-07,Pendente
778,21621,2022-09-27,Pendente
779,21435,2024-03-23,Cancelado
780,2636,2025-03-08,Cancelado
781,12109,2024-10-21,Pendente
782,24469,2024-01-09,Pendente
783,16624,2022-04-06,Pendente
784,24205,2025-04-01,Pago
785,18841,2021-06-26,Pago
786,253,2023-01-06,Pendente
787,3123,2024-08-17,Cancelado
788,974,2024-06-03,Cancelado
789,21985,2024-04-19,Pendente
790,76,2023-12-15,Pago
791,3250,2024-05-01,Cancelado
792,16231,2021-07-22,Pendente
793,11693,2024-10-31,Pendente
794,7475,2022-04-23,Pago
795,4970,2024-03-30,Pago
796,14167,2022-10-05,Pago
797,14253,2021-07-15,Pago
798,1242,2024-12-26,Pago
799,5686,2024-10-17,Cancelado
800,13825,2021-11-01,Pago
801,2278,2021-09-29,Pago
802,6372,2021-11-11,Pendente
803,1312,2022-06-20,Pago
804,16922,2023-04-13,Pago
805,21735,2024-12-03,Cancelado
806,22078,2024-12-26,Pago
807,9339,2022-09-05,Cancelado
808,18325,2023-04-09,Pendente
809,507,2021-12-03,Pendente
810,16892,2024-07-13,Cancelado
811,15955,2025-03-14,Cancelado
812,7737,2024-03-24,Cancelado
813,21566,2023-06-28,Cancelado
814,90,2024-11-07,Pendente
815,2270,2024-01-29,Cancelado
816,13878,2023-09-26,Pendente
817,6825,2025-05-08,Pago
818,10976,2025-05-28,Cancelado
819,7274,2025-01-25,Cancelado
820,13471,2024-01-09,Cancelado
821,8363,2022-05-21,Pago
822,20907,2023-12-13,Pendente
823,7072,2022-07-26,Pago
