cod_item,cod_pedido,cod_livro,quantidade,preco_unitario
117,21472,12681,1,177.84
118,3779,901,4,54.76
119,22731,569,3,137.98
120,9199,15039,1,98.86
121,18212,14260,2,73.86
122,21969,9032,4,93.26
123,9220,3138,3,64.39
124,22570,3021,5,119.72
125,25650,29558,1,71.65
126,20134,777,5,161.42
127,14347,1597,1,84.02
128,10275,7512,5,54.16
129,7514,22375,1,162.21
130,25111,21631,5,166.14
131,20910,5182,2,41.13
132,3622,24398,3,134.8
133,7448,16537,1,46.74
134,24690,16722,1,152.47
135,24524,1198,4,41.89
136,25532,11060,2,156.65
137,23759,20364,3,38.24
138,699,25531,3,105.72
139,14437,5846,2,104.44
140,10097,15273,2,137.95
141,24376,22794,1,139.38
142,1206,16486,4,110.89
143,18165,8737,1,117.07
144,3095,23454,2,102.34
145,23505,9234,5,73.68
146,22175,8167,4,72.16
147,15280,28570,1,119.03
148,27423,7961,3,148.57
149,19972,12268,1,117.32
150,19330,17895,4,55.9
151,20233,14997,5,40.84
152,11817,9220,2,135.41
153,26243,10940,1,42.49
154,20871,8394,5,117.5
155,24337,6564,3,114.29
156,15226,14120,5,102.21
157,24264,11929,5,80.62
158,17549,24998,3,60.27
159,4228,4025,4,113.55
160,29070,18163,2,165.74
161,5989,26067,1,36.08
162,17518,20884,5,70.72
163,5943,280,2,175.06
164,5254,27046,3,155.41
165,28020,27306,3,101.08
166,28714,4603,2,65.39
167,16657,5110,5,178.13
168,23621,22803,2,113.25
169,1437,11087,5,162.86
170,10212,14309,4,33.04
171,10742,28911,1,45.16
172,21587,10810,1,64.13
173,24092,6203,1,29.14
174,7793,233,5,145.23
175,18024,16177,5,50.14
176,18804,15768,5,145.98
177,5618,12778,3,76.09
178,23658,510,1,119.87
179,23076,8249,5,149.89
180,17827,22006,5,135.75
181,24381,21304,4,29.76
182,6696,4068,2,157.22
183,17277,21697,1,49.53
184,28501,17680,5,144.83
185,22532,8038,4,49.47
186,611,15153,4,72.68
187,29211,29718,3,168.67
188,15710,14487,3,40.16
189,16885,24957,3,73.06
190,22884,11540,5,165.69
191,22777,520,5,82.54
192,1994,3205,3,95.91
193,14709,28032,3,105.92
194,27741,2957,2,175.03
195,18894,15493,2,159.65
196,3375,8074,2,32.98
197,17567,13267,3,62.95
198,14401,28842,3,134.58
199,18336,6527,4,143.83
200,27821,1554,2,138.38
201,6514,9202,5,159.05
202,16808,13239,2,40.76
203,27611,21480,3,93.11
204,24618,26749,5,148.21
205,23306,6816,5,169.61
206,8870,9376,5,119.84
207,14043,20499,5,50.48
208,11821,6490,2,177.97
209,19774,1934,5,86.03
210,12449,6575,1,95.4
211,17589,26789,4,61.58
212,20994,12841,4,120.77
213,12126,18690,3,106.16
214,7988,16713,2,67.22
215,4926,17329,2,104.0
216,21183,27961,2,99.37
217,21070,14676,5,51.41
218,14338,4382,3,59.4
219,16036,17895,4,52.34
220,11403,12209,5,61.29
221,19985,4967,4,60.25
222,25109,17981,1,123.61
223,21762,22255,2,143.46
224,25192,9015,5,157.34
225,13291,22539,1,105.71
226,1123,13930,1,172.79
227,29396,15808,5,99.49
228,18460,10276,1,163.22
229,22371,20493,5,117.51
230,6007,25797,2,75.39
231,24528,2783,3,25.37
232,6150,11594,2,131.0
233,13482,28992,3,92.94
234,6206,1334,2,148.51
235,17567,21203,5,55.84
236,23925,8,5,146.15
237,20689,29424,3,151.33
238,1141,427,5,63.69
239,22265,17039,2,85.47
240,207,15641,2,116.67
241,5375,22511,3,32.84
242,3991,11542,3,163.75
243,19659,28213,5,177.89
244,9920,19203,3,59.87
245,27557,29289,1,77.15
246,15192,23558,3,47.24
247,29369,4678,3,158.97
248,25522,9086,2,161.18
249,23598,19619,2,63.56
250,26346,29912,4,62.18
251,8984,20033,2,111.13
252,3823,864,1,39.44
253,3242,1267,2,89.71
254,27204,3835,4,150.31
255,13887,3820,4,137.34
256,22048,20493,2,60.01
257,8077,8484,4,44.28
258,12892,3122,1,175.87
259,982,12419,4,41.51
260,4576,12078,2,136.98
261,26519,12819,2,104.22
262,6631,28798,4,78.01
263,14941,2693,1,104.2
264,14346,11894,3,138.77
265,21530,1500,3,110.1
266,27985,23351,1,159.8
267,24302,26670,1,83.51
268,17316,17339,1,136.67
269,23021,22362,1,150.64
270,7115,8088,3,108.72
271,8425,12018,2,140.63
272,29639,6619,5,60.51
273,6499,25472,2,137.3
274,12132,28477,4,150.75
275,14717,17514,3,52.69
276,27498,22281,4,37.57
277,10708,1978,5,111.06
278,10800,24188,1,136.9
279,9127,29591,5,146.72
280,13451,21154,4,146.18
281,7723,25708,2,140.83
282,16516,26748,5,55.66
283,16109,15185,5,54.31
284,5957,13755,1,137.77
285,25614,17902,1,45.81
286,20067,1660,1,59.59
287,28418,13844,4,45.99
288,27506,19717,1,64.04
289,21499,27936,5,58.63
290,7542,29544,4,34.04
291,2970,8219,3,125.3
292,309,125,5,25.06
293,27978,2685,4,107.17
294,26738,28337,5,45.66
295,24999,23528,5,106.73
296,5846,24648,1,27.37
297,19556,23583,1,132.19
298,14233,25428,5,33.15
299,23212,5040,5,32.42
300,720,16248,1,87.29
301,6470,21690,4,55.38
302,15305,21873,3,158.3
303,24827,19517,3,135.89
304,7245,4108,3,122.33
305,28979,187,1,34.59
306,26748,15851,3,49.17
307,22343,1389,4,164.26
308,4554,390,1,46.96
309,2965,18383,2,137.99
310,12220,9971,1,92.88
311,22739,12137,5,115.33
312,18215,956,2,62.81
313,7346,2999,4,31.34
314,8571,2018,3,126.39
315,15800,24840,5,42.61
316,11050,6845,5,28.81
317,811,14810,1,102.48
318,8074,18347,3,174.64
319,19788,14468,5,152.69
320,18502,21502,4,74.75
321,17662,21388,1,142.81
322,13434,15084,2,114.93
323,19403,7837,1,178.37
324,25440,26340,2,146.79
325,11362,2984,1,138.67
326,26131,26089,2,90.02
327,5587,5580,2,86.11
328,16288,20046,5,132.86
329,2020,25678,4,154.57
330,23271,27611,3,32.77
331,20742,21117,1,156.2
332,14973,6314,5,137.87
333,22782,3736,4,179.7
334,14127,10350,5,78.34
335,20352,9161,1,130.36
336,26024,4526,1,146.25
337,14021,28427,1,110.58
338,16611,7728,2,167.48
339,22539,9453,3,109.16
340,17294,4380,3,72.59
341,25894,15525,2,123.55
342,5608,6172,4,161.04
343,18059,20051,4,76.96
344,10178,3965,4,110.38
345,6404,26486,4,46.79
346,18638,6750,1,25.49
347,22102,28136,5,59.24
348,22799,14592,3,89.8
349,15617,18500,2,110.9
350,8866,3506,4,75.02
351,8808,18571,1,66.19
352,19183,2213,4,148.25
353,6150,27640,4,179.05
354,16647,17836,4,122.46
355,8001,6242,4,53.72
356,28499,10702,1,159.67
357,7468,3040,1,86.19
358,22004,16984,4,74.12
359,17819,29288,4,55.39
360,16453,6731,4,152.85
361,19531,12217,1,114.88
362,11936,12837,4,135.27
363,12883,30,5,49.31
364,12727,22606,2,70.59
365,15132,23352,3,160.39
366,3277,8354,1,126.1
367,18247,29276,2,165.66
368,12975,5813,2,130.45
369,16018,12165,1,57.55
370,16668,13648,1,96.15
371,10632,5970,5,150.85
372,15463,5950,5,88.77
373,22752,15870,5,91.0
374,14648,24569,2,98.0
375,17466,6728,2,134.67
376,18294,1051,3,64.34
377,5857,23595,1,47.32
378,23135,10213,3,82.57
379,16491,23318,2,131.75
380,25623,21809,4,70.28
381,6028,23242,5,177.52
382,15337,26870,1,69.92
383,15141,16745,2,112.24
384,13896,7384,1,166.12
385,8559,29078,2,157.5
386,21748,15107,4,161.69
387,1142,13927,5,105.9
388,13021,1174,2,107.62
389,21855,15121,5,80.63
390,8861,5514,1,62.48
391,23906,1463,3,39.6
392,24537,22642,4,109.16
393,18246,28402,1,34.31
394,17542,5456,2,47.83
395,29989,24937,4,145.08
396,23483,27729,5,148.92
397,18342,26397,3,144.04
398,6928,21695,3,70.85
399,9551,23686,4,161.32
400,8082,29134,5,95.47
401,10493,14624,5,165.55
402,14734,19197,4,39.2
403,28258,1760,2,84.46
404,8932,13944,2,41.02
405,14181,20378,1,68.9
406,2274,24781,4,160.82
407,19280,3424,5,96.12
408,7901,10244,3,122.11
409,5472,27692,2,121.89
410,10167,25680,4,77.83
411,23830,16769,1,46.38
412,22132,18985,2,164.51
413,128,27639,2,76.67
414,9794,17225,5,134.29
415,20552,23308,4,75.86
416,15069,11018,4,32.38
417,19427,23797,3,103.05
418,3607,28561,3,150.31
419,3948,26676,3,82.81
420,15400,16410,5,27.19
421,13278,18800,2,148.17
422,22000,1485,1,81.93
423,8430,21386,2,82.47
424,3608,14656,5,168.14
425,24729,4680,2,147.21
426,4292,202,4,26.75
427,19448,6996,2,68.65
428,17148,16976,1,142.87
429,17224,27490,3,96.06
430,28864,16300,4,133.5
431,14205,350,2,99.64
432,25873,29102,4,174.02
433,18591,4503,1,87.31
434,26744,29008,3,148.63
435,6618,25811,2,51.39
436,16688,231,2,146.06
437,10182,9573,2,81.98
438,16355,14395,5,102.96
439,26893,74,4,87.42
440,1051,9334,4,166.0
441,3352,7709,3,82.4
442,11677,13684,3,66.75
443,8877,5701,1,159.64
444,22055,10216,5,33.22
445,1663,5292,2,40.21
446,17871,25617,3,109.34
447,1299,254,5,117.1
448,3200,5704,3,51.76
449,5829,1844,5,40.84
450,20258,21589,4,80.03
451,12237,6033,3,157.26
452,1920,18729,2,26.56
453,23695,19495,2,121.12
454,18109,17789,1,50.07
455,14812,1429,5,91.21
456,12583,3102,1,152.82
457,14137,27162,1,150.22
458,16406,5091,4,153.38
459,25655,7142,3,77.56
460,27646,6077,1,63.5
461,28007,24730,3,145.79
462,2157,2055,3,117.59
463,105,27170,4,125.32
464,5656,7688,3,54.13
465,5890,23086,3,171.06
466,11043,7434,3,122.64
467,13682,21564,5,42.72
468,10182,18999,2,179.76
469,15718,10594,4,156.98
470,9677,28000,3,155.97
471,6381,10839,4,71.46
472,21474,9193,1,43.15
473,29462,3295,1,149.74
474,4340,21832,2,97.29
475,5560,27595,2,142.41
476,24086,28735,3,128.31
477,15693,6477,2,106.81
478,21091,19974,1,53.71
479,28946,20389,5,84.13
480,21658,27491,4,59.54
481,3047,6171,4,93.8
482,6006,4958,4,52.31
483,3701,27199,5,85.9
484,7898,5129,5,177.87
485,18539,20673,2,53.04
486,9216,6772,2,114.05
487,24012,15694,5,26.1
488,24542,357,4,95.26
489,25421,8152,2,40.85
490,14277,11265,2,89.96
491,27349,1498,3,82.87
492,27663,8636,3,98.45
493,216,28898,3,66.23
494,27827,19553,4,145.52
495,10124,18222,3,73.79
496,23422,29328,1,57.56
497,14626,19658,1,133.69
498,22410,15448,2,50.6
499,27932,4854,5,81.97
500,18242,8755,3,102.91
501,21860,24488,3,165.84
502,13786,16029,2,43.59
503,29169,27645,1,126.74
504,17739,21919,3,28.0
505,18122,13642,5,43.33
506,9281,1213,4,62.67
507,14193,14998,5,142.31
508,5834,14809,3,39.46
509,24824,27461,2,110.66
510,3137,2341,4,132.05
511,2331,3111,1,71.89
512,13366,11682,4,93.26
513,11568,13946,5,117.72
514,27258,2641,2,72.03
515,1327,28882,1,63.57
516,5200,20506,1,171.12
517,7850,1163,2,65.04
518,21607,19298,3,71.13
519,239,798,5,134.99
520,3046,26725,3,153.28
521,11990,6042,1,130.83
522,15723,13969,3,178.48
523,7117,10312,3,172.53
524,484,21774,3,149.69
525,19467,8415,3,124.68
526,17834,10167,1,153.5
527,20781,5784,1,106.85
528,28338,19069,2,131.04
529,25439,12863,1,27.68
530,690,19621,4,97.57
531,8372,10485,3,97.13
532,13855,24262,4,131.4
533,16219,20008,2,70.2
534,19641,29584,5,123.43
535,11800,5595,1,114.94
536,2297,13384,3,167.25
537,17931,27770,3,56.04
538,15103,21817,5,56.12
539,9192,16614,2,128.29
540,1040,16707,4,42.87
541,17595,15955,1,65.65
542,23079,26786,1,98.91
543,17311,5044,4,26.42
544,26000,25937,5,98.42
545,8249,13231,5,127.94
546,25283,7713,5,72.41
547,18918,9295,3,63.92
548,14643,5884,5,73.46
549,9944,17408,3,80.63
550,26301,9786,4,82.68
551,1960,3487,2,118.14
552,21228,2292,2,30.86
553,7172,29401,4,167.45
554,16649,26208,1,121.67
555,5484,16550,5,175.93
556,18131,2329,5,133.19
557,7917,18597,3,91.44
558,22556,19430,1,143.33
559,3611,11298,2,74.01
560,24916,13327,4,142.62
561,14311,9302,4,64.43
562,7774,28799,1,164.21
563,25642,11873,4,108.82
564,3658,4811,2,95.64
565,26550,11347,4,97.3
566,20771,65,3,38.03
567,24634,12551,1,112.58
568,24480,22626,1,117.73
569,5750,24503,4,145.96
570,21471,25245,1,130.2
571,29101,3301,2,121.04
572,11698,24597,2,117.67
573,22118,10729,5,35.59
574,12815,15122,3,48.72
575,7203,21144,1,91.4
576,17550,25793,1,86.75
577,493,11054,1,25.04
578,24382,26389,4,87.42
579,26332,8354,1,57.66
580,24828,25433,3,94.38
581,13317,22349,5,118.33
582,16539,28696,5,25.73
583,22229,27171,4,66.72
584,8739,28920,2,66.57
585,13936,6709,4,109.62
586,12971,15232,5,54.02
587,27122,10614,1,129.44
588,15369,7379,1,59.07
589,17858,6391,4,95.5
590,1783,20034,5,141.12
591,2761,298,4,129.76
592,20626,3598,2,91.97
593,1523,23918,3,131.47
594,9851,22202,3,75.89
595,3720,12096,5,64.86
596,5155,15013,5,145.63
597,12292,8827,2,58.57
598,938,2878,5,101.53
599,10038,3642,4,113.49
600,8179,2239,2,122.69
601,16681,8621,4,163.92
602,16908,18377,5,84.64
603,16243,21676,5,109.25
604,16556,13217,3,68.01
605,26195,25443,1,75.35
606,22010,7926,2,105.99
607,1050,19332,1,144.41
608,24701,12433,3,95.33
609,26382,23244,3,94.57
610,24829,15210,3,39.36
611,29117,25575,4,173.06
612,15589,23357,4,130.8
613,6953,13767,3,92.3
614,27423,2228,1,138.89
615,10632,22026,2,59.11
616,3482,1068,4,91.67
617,17232,210,3,58.34
618,17512,14466,1,117.55
619,4598,24407,3,107.52
620,2509,889,3,117.03
621,14053,8637,5,175.86
622,7341,9575,3,56.75
623,5884,22173,2,79.2
624,21823,14664,4,127.87
625,18563,3998,5,99.43
626,851,17972,3,177.84
627,14447,3599,2,119.94
628,628,9027,2,93.81
629,16298,7503,1,52.41
630,2010,6446,5,63.08
631,20198,14334,1,86.94
632,7829,1840,5,114.97
633,12527,5055,1,93.04
634,15104,1567,5,129.04
635,27374,24248,3,59.04
636,3000,2289,2,69.19
637,1315,2110,1,25.31
638,9682,24730,1,148.13
639,6160,19470,2,139.02
640,18188,12173,2,27.7
641,13565,11658,2,29.32
642,12482,9534,4,47.94
643,13869,25789,3,81.07
644,17114,14497,4,31.83
645,3550,27562,5,168.19
646,11874,10910,2,117.45
647,8802,22711,4,78.35
648,4977,27678,1,90.78
649,15473,20590,4,93.68
650,22593,22043,3,123.26
651,20309,7422,5,150.18
652,28051,234,2,154.65
653,24935,1372,5,136.71
654,28789,19619,5,161.59
655,28573,29716,4,87.45
656,11774,25775,3,62.86
657,7463,21453,3,116.73
658,16137,14490,1,98.43
659,27237,19635,3,174.32
660,22043,236,5,96.79
661,4286,8113,1,43.71
662,8451,26472,1,139.21
663,11569,18604,2,153.03
664,1950,8998,4,95.42
665,1671,1646,2,135.49
666,5104,14736,5,53.39
667,16638,6640,2,142.85
668,20349,3477,1,54.36
669,9376,15439,3,86.84
670,13940,16830,1,163.34
671,3951,1857,1,141.32
672,1788,26459,3,69.49
673,4448,13961,2,96.14
674,25461,23881,4,38.19
675,11606,21135,3,81.46
676,9832,10614,3,175.38
677,14265,6998,3,141.84
678,17571,26095,2,173.06
679,15788,28660,3,142.25
680,29322,23038,5,69.75
681,11062,29531,5,61.72
682,5348,23924,1,84.34
683,20690,1222,3,88.74
684,29567,15240,2,69.06
685,11329,4546,4,51.51
686,22896,5613,2,146.61
687,510,14358,1,111.65
688,28933,11832,5,175.78
689,19730,17712,1,175.56
690,14660,3382,3,110.14
691,27519,5625,5,123.6
692,26196,11879,4,26.17
693,19869,2553,3,120.43
694,11389,16806,5,162.64
695,831,205,3,79.19
696,28105,11168,1,166.93
697,14306,22039,2,93.32
698,20163,26337,1,137.98
699,24812,29070,1,59.69
700,4128,26931,4,149.66
701,12962,28037,3,104.32
702,2369,20125,3,108.92
703,29777,6378,5,27.86
704,2565,20202,3,149.48
705,25118,14826,3,176.71
706,16939,10202,2,62.23
707,8614,29113,4,85.01
708,18653,3786,2,171.47
709,10073,13512,2,51.91
710,12010,9767,3,57.89
711,15708,22563,3,106.66
712,21576,13398,5,34.05
713,20668,27399,5,162.25
714,12477,11120,1,158.49
715,1863,24098,1,82.2
716,24547,4833,3,116.66
717,22417,4648,5,165.38
718,24427,16618,3,107.87
719,16279,8328,3,133.17
720,13976,14249,1,171.74
721,22860,13286,1,148.66
722,26833,6620,5,102.27
723,11640,10007,5,29.46
724,16762,11248,4,37.35
725,27358,22807,2,88.62
726,28327,21645,2,178.54
727,26220,10697,4,126.05
728,20733,16566,3,116.2
729,19057,19760,1,89.49
730,456,11845,5,162.73
731,3030,26420,2,171.8
732,7973,29069,4,153.99
733,13263,18848,1,171.84
734,191,4670,4,49.17
735,28101,15160,5,60.69
736,9017,19687,1,83.63
737,5700,2789,1,54.44
738,3633,9525,1,117.46
739,14326,7764,4,134.99
740,28850,15578,3,45.18
741,21095,14388,5,26.29
742,18211,17245,3,47.03
743,4909,27050,4,35.63
744,18889,25491,1,138.59
745,14781,14067,3,76.12
746,7221,14329,5,118.58
747,27615,24538,4,132.45
748,18412,2399,4,157.22
749,19796,1122,1,78.02
750,23167,28884,1,121.86
751,16435,24622,4,109.68
752,18366,24858,5,35.5
753,16047,2145,1,133.06
754,20797,10417,5,68.36
755,954,8323,1,81.68
756,24146,7371,3,168.05
757,11816,24191,5,127.0
758,8610,21957,5,151.48
759,27600,14830,5,27.08
760,17544,17673,4,104.85
761,26987,18473,1,68.01
762,1472,24254,4,91.38
763,4151,21503,3,146.1
764,8679,24366,5,175.24
765,12954,28145,1,103.1
766,8785,29938,2,137.63
767,15298,22682,1,84.07
768,26062,24120,2,117.14
769,7883,24778,3,80.68
770,29005,27991,3,154.62
771,10673,1713,5,97.08
772,10778,20752,2,52.06
773,26448,22960,2,155.01
774,18157,885,2,168.1
775,14781,21788,2,146.4
776,20922,25365,2,169.99
777,6458,11120,2,156.3
778,81,14233,1,177.39
779,6752,26738,4,85.95
780,16074,14683,2,78.31
781,5665,12347,4,98.44
782,16431,17798,5,173.78
783,22064,21039,1,40.96
784,22295,10176,3,109.4
785,23053,20904,2,83.36
786,28525,5844,2,47.73
787,4788,15277,2,97.97
788,10398,2014,2,31.46
789,88,11940,1,138.35
790,25940,7512,1,113.49
791,1742,22812,3,91.82
792,659,25070,5,173.65
793,4104,21780,1,124.79
794,26225,27705,5,54.23
795,501,3537,5,134.59
796,14062,6468,3,124.48
797,5991,210,5,57.11
798,18467,8057,5,65.83
799,5735,11950,1,65.88
800,21516,22097,4,106.22
801,11789,2438,2,73.86
802,11944,11389,3,171.94
803,15407,921,1,176.8
804,4650,26883,2,148.78
805,9254,14674,2,72.44
806,12979,17594,2,119.27
807,9144,6687,5,115.27
808,3617,6581,2,86.82
809,12592,28941,3,81.51
810,346,6786,3,96.2
811,19391,27317,1,128.36
812,8604,16530,2,120.83
813,590,27981,1,131.26
814,18296,8190,1,134.11
815,23557,616,1,126.69
816,21654,22418,4,147.18
817,26728,7338,1,177.2
818,8325,13455,1,176.6
819,14875,21407,2,29.59
820,19745,6336,2,101.45
821,11709,15805,3,36.62
822,16670,8485,4,144.78
823,871,5429,1,67.49
824,29562,24104,3,119.56
825,16248,18041,1,30.25
826,25675,13635,3,139.89
827,24516,16475,1,88.5
828,8104,24859,5,137.85
829,9845,22721,2,149.65
830,12757,16512,1,57.16
831,24205,2009,4,81.27
832,4908,12999,1,64.87
833,9024,21542,2,81.09
834,6865,11969,2,125.52
835,17509,1125,4,38.2
836,7203,1245,4,161.03
837,19304,9130,4,101.29
838,13578,12655,3,43.3
839,22324,13374,2,177.56
840,14938,11915,1,150.09
841,27676,4405,5,80.33
842,201,20653,5,36.21
843,24472,19092,3,68.52
844,24918,12131,3,131.77
845,6872,29964,1,29.68
846,10534,18949,2,98.46
847,24047,5183,5,101.28
848,11573,14740,5,25.35
849,14945,22557,1,131.84
850,7836,2893,4,51.42
851,2079,24432,5,138.86
852,9785,4320,5,126.23
853,7262,15442,3,64.68
854,16026,5122,2,146.43
855,15927,1193,1,52.81
856,9712,4855,4,102.85
857,13378,13550,4,70.77
858,19289,7452,3,56.44
859,16704,13235,4,157.42
860,29248,6279,3,96.0
861,6718,15844,5,124.23
862,13778,8891,2,103.81
863,14724,20058,4,162.17
864,20715,18061,1,36.08
865,1242,4501,1,100.32
866,26019,13599,2,103.44
867,3709,4567,4,142.9
868,11292,14512,1,146.7
869,2513,29886,2,35.84
870,15585,9577,3,110.46
871,19910,20637,4,178.4
872,5342,13589,4,126.3
873,26598,28307,1,45.01
874,14726,21718,2,40.83
875,16442,13245,4,166.92
876,25199,14940,1,75.29
877,9803,3734,1,152.71
878,23624,7200,3,41.11
879,2865,20284,3,107.86
880,29470,10052,1,35.87
881,24173,1485,3,109.11
882,21559,213,4,48.46
883,24045,23337,1,118.14
884,19933,12270,4,105.63
885,4049,16747,5,43.83
886,29407,13056,4,85.33
887,26710,5597,4,65.74
888,12481,23129,4,37.33
889,2148,1184,1,112.81
890,11691,12493,1,165.08
891,7292,18428,5,144.0
892,10460,24811,1,61.61
893,4965,11297,5,176.77
894,16120,16852,3,56.18
895,4998,28232,1,125.23
896,7174,5,1,75.59
897,13850,9137,3,136.69
898,25620,13693,3,148.58
899,8530,779,1,95.94
900,5021,12940,5,120.31
901,18747,26048,5,27.37
902,9920,2442,5,128.39
903,18062,8041,4,158.28
904,24631,28058,5,90.54
905,18948,3867,5,125.93
906,647,11896,4,49.29
907,21332,4780,3,61.67
908,24367,2224,5,81.6
909,27941,17336,2,168.26
910,2245,16007,5,176.43
911,8722,1303,3,53.41
912,8145,21995,3,124.47
913,16650,16349,2,119.14
914,10234,26840,3,149.69
915,21631,11032,3,35.02
916,5060,581,1,119.88
917,12697,3766,2,149.61
918,4910,10692,4,133.97
919,12267,9196,2,112.86
920,1222,8744,5,79.33
921,29676,12381,2,122.47
922,2384,904,3,156.25
923,19762,1707,3,93.89
924,11819,8283,3,25.19
925,10750,6127,3,40.34
926,14226,22621,5,27.48
927,26565,2638,3,121.78
928,16198,10576,5,31.23
929,15074,22525,1,161.61
930,1553,26129,4,142.46
931,8703,25322,4,34.52
932,10070,18976,3,69.24
933,16161,22183,3,153.78
934,17466,22081,5,130.9
935,16451,1573,1,49.47
936,22259,22531,1,77.64
937,24618,19973,5,155.84
938,28577,28579,5,49.15
939,12271,3027,3,163.56
940,9300,18320,3,30.86
941,17370,9952,3,77.81
942,21885,6000,3,131.4
943,27705,18595,3,141.11
944,4448,4622,4,104.42
945,20331,10844,3,43.3
946,2498,7392,2,98.39
947,8711,22133,5,95.69
948,16175,7743,5,98.86
949,28980,27479,2,175.79
950,17199,17880,2,163.16
951,29441,3985,3,55.8
952,27222,72,2,153.1
953,2023,12149,1,72.61
954,9836,16404,2,43.4
955,6043,28469,1,152.36
956,21255,25882,3,147.05
957,7293,23487,2,176.32
958,7139,19540,3,113.56
959,21958,8737,1,41.22
960,9204,15485,3,74.27
961,24128,14192,1,158.92
962,18006,15310,3,84.88
963,11402,16789,3,159.76
964,23420,14788,1,178.09
965,9263,5792,5,137.9
966,25138,26215,3,102.47
967,22696,26030,3,35.34
968,6686,16873,1,48.94
969,25137,4993,5,165.0
970,26838,22331,3,162.76
971,1082,18753,4,34.73
972,19771,19299,4,83.33
973,19617,10262,4,163.59
974,6381,13314,1,108.87
975,972,2628,1,97.19
976,17552,23754,4,166.4
977,8163,11211,4,138.06
978,29495,3715,5,157.86
979,6388,4849,3,179.27
980,13236,594,2,55.08
981,17140,22845,4,162.78
982,16946,17635,5,77.58
983,17108,19272,1,96.04
984,29886,20782,1,135.94
985,2763,15784,3,161.65
986,12984,24428,5,140.11
987,22269,2770,2,112.86
988,29803,27382,5,63.99
989,10938,26886,4,46.88
990,18819,3397,1,173.07
991,23582,4821,1,169.0
992,23863,13548,4,28.72
993,11544,737,2,64.19
994,14066,27314,1,165.6
995,6661,9939,1,53.73
996,7124,18181,4,88.44
997,19227,15980,2,63.09
998,306,15806,4,95.21
999,29161,9968,5,173.54
1000,24645,7894,5,158.17
1001,26273,2761,2,55.57
