cod_autor,nome,nacionalidade
106,Beatriz Borges,Mônaco
107,Srta. Manuela Cavalcanti,Andorra
108,Srta. Nicole Freitas,Itália
109,Sra. Aurora da Cruz,Ilhas Turcas e Caicos
110,Breno Azevedo,Afeganistão
111,Ana Vitória Moreira,Eslovênia
112,Ana Lívia Pimenta,Ilhas Marshall
113,Srta. Maria Sophia Sampaio,Emirados Árabes Unidos
114,Laura Sousa,Ilha Norfolk
115,Dra. Kamilly Guerra,Vanuatu
116,Yago Nunes,Ilhas Falkland
117,Luiza Marques,Chade
118,Dra. Maria Julia Lima,Ilhas Cook
119,Erick Monteiro,Catar
120,Sophie Martins,Salvador
121,Sr. Bryan Lopes,Paracel Islands
122,Dra. Laís Pastor,Senegal
123,Mariana da Rosa,Bolívia
124,Mirella Pimenta,Antígua e Barbuda
125,Maria Julia Costela,Guatemala
126,Lorenzo Souza,Estônia
127,Melissa Mendonça,Maurícia
128,João Lucas Lopes,Jan Mayen
129,Srta. Julia Borges,Arábia Saudita
130,Rodrigo da Luz,Kuwait
131,Vitor Hugo Costela,Guiana
132,Lívia da Cruz,Síria
133,Calebe Costa,Roménia
134,Lucca Martins,Jamaica
135,Elisa Pimenta,Armênia
136,Yan Silva,Cazaquistão
137,Rafael Freitas,São Cristóvão e Neves
138,Lorena Campos,Costa do Marfim
139,Maria Eduarda Cardoso,Peru
140,Carolina Araújo,Eslovênia
141,Lorena Cardoso,Coreia do Norte
142,Luna Peixoto,Turquemenistão
143,Otávio da Paz,Alemanha
144,Caio Ribeiro,Guam
145,Marcela Teixeira,Suécia
146,Davi Lucca Dias,Equador
147,Noah Pacheco,Ruanda
148,Sra. Clarice Leão,Turquemenistão
149,Dr. Noah Machado,Santa Helena
150,Maria Julia Cunha,Tanzânia
151,Ana Carolina Jesus,Roménia
152,Isadora Moura,Hong Kong
153,Vicente da Conceição,México
154,Sr. Bento Borges,Níger
155,Dr. Theo Cavalcante,Albânia
156,Dra. Agatha Cavalcante,Ilha de Man
157,Zoe Barros,Cazaquistão
158,Gabriel Pires,Hong Kong
159,Sra. Eduarda Sampaio,Guiné Equatorial
160,Vitor Hugo Viana,Gabão
161,Jade Souza,Niue
162,Pietra Lopes,Seicheles
163,Cauã Pereira,Trindade e Tobago
164,Eloah Fonseca,Cuba
165,Gabriela Pereira,Burquina Faso
166,Rael Pinto,Bósnia e Herzegovina
167,Catarina Correia,Hong Kong
168,Amanda Mendes,Palau
169,Luiz Otávio Porto,Uganda
170,Sra. Julia Porto,Lesoto
171,Srta. Alexia Albuquerque,Alemanha
172,Beatriz Sales,Panamá
173,Lorena Fogaça,Iraque
174,Dr. Raul da Paz,Granada
175,Carolina Andrade,Egito
176,Gael Henrique Costela,Cuba
177,Srta. Júlia da Luz,Israel
178,Isadora da Rocha,Namíbia
179,Yan da Conceição,Samoa
180,Davi Miguel da Conceição,Benim
181,Joana Araújo,Fiji
182,Benício Rocha,Akrotiri
183,Oliver Moura,Bolívia
184,Hadassa Correia,Argentina
185,Sofia Mendes,Nova Zelândia
186,Sr. João Gabriel Souza,Moldávia
187,João Guilherme Pereira,Montenegro
188,Raul Costa,Ilha de Man
189,Alexandre Camargo,Iraque
190,Dr. Bernardo Carvalho,Croácia
191,Sra. Ester Duarte,Libéria
192,Maria Fernanda Rios,Omã
193,Gael Freitas,Austrália
194,João Miguel Mendes,Quiribáti
195,Giovanna Leão,Finlândia
196,Ravi Lucca Marques,Jibuti
197,Pietro Vargas,Ilhas Salomão
198,Lucas Gabriel Jesus,Estados Unidos
199,Oliver Aparecida,Omã
200,Eduardo Ribeiro,Antilhas Holandesas
201,Sra. Fernanda Costa,Camboja
202,Sra. Ester Pastor,Estônia
203,Eloá Silveira,Andorra
204,Anthony da Conceição,Irlanda
205,Pedro Miguel Fernandes,São Vicente e Granadinas
206,Théo Andrade,São Vicente e Granadinas
207,Yago Vieira,Colômbia
208,Isabella Sá,Albânia
209,Kaique Rocha,Ilha do Natal
210,Luiza Vasconcelos,Ilha de Man
211,Beatriz Sales,Colômbia
212,Sr. Enrico Aparecida,Zâmbia
213,Dra. Marina da Costa,Fiji
214,Nicole Azevedo,São Vicente e Granadinas
215,Luigi Araújo,Arábia Saudita
216,Sr. Vitor Gabriel Costela,Svalbard e Jan Mayen
217,Pedro da Conceição,Suécia
218,Maria Eduarda Cardoso,Dhekelia
219,Emanuelly Silva,Malávi
220,Ravy Fonseca,Brasil
221,Sra. Hellena Guerra,Santa Lúcia
222,Amanda Machado,Monserrate
223,Dr. Vitor Gabriel Moreira,Hungria
224,Igor Nogueira,Jamaica
225,Léo Oliveira,Liechtenstein
226,Lívia Cunha,Cuba
227,Aylla Ribeiro,Bahamas
228,Luiza da Cunha,Malávi
229,Sra. Emanuella Camargo,Jibuti
230,Srta. Clarice Pimenta,Comores
231,Felipe Jesus,Santa Lúcia
232,Kamilly Rodrigues,Ilha do Natal
233,Isabella Guerra,Chile
234,Joana Guerra,Clipperton Island
235,Pedro Miguel Pacheco,Jersey
236,Anna Liz Rodrigues,Madagascar
237,Vicente Barbosa,Ilha Norfolk
238,Isabel da Costa,Belize
239,Luna das Neves,Lesoto
240,Felipe da Conceição,Quirguizistão
241,Alícia Azevedo,Mongólia
242,Allana Sales,Suíça
243,Sr. Henry Gabriel Cassiano,Eritreia
244,Maria Flor Barbosa,Jamaica
245,Davi Lucca da Rosa,Angola
246,João Gabriel Gomes,Antártica
247,Maria Clara da Rocha,Costa do Marfim
248,Dr. Arthur Miguel Rezende,Maldivas
249,Sr. Diogo Vasconcelos,Bahamas
250,Laura Costela,Irlanda
251,Oliver Marques,Sérvia
252,Cauê Montenegro,Maurícia
253,Julia Cavalcanti,Mongólia
254,Arthur Alves,Antígua e Barbuda
255,Ana Lívia Moura,Lesoto
256,Srta. Clarice da Paz,Noruega
257,Marcelo Rocha,Macau
258,Bento Cavalcanti,Brasil
259,Alexandre Ribeiro,República Dominicana
260,Ana Luiza Silveira,Niue
261,Rafaela Farias,Jibuti
262,Agatha Vasconcelos,Ilhas Falkland
263,Brayan Camargo,Costa Rica
264,Dr. Vitor Hugo Farias,Omã
265,Lucca Sales,Uruguai
266,Ana Vitória Silva,Índia
267,João Lopes,Barbados
268,Luna Albuquerque,Barein
269,Dra. Lavínia Castro,Bahamas
270,Maria Cecília Siqueira,Nigéria
271,Sra. Ana Liz Moreira,Singapura
272,Dr. Mathias da Paz,Bermudas
273,Maitê Pastor,Quirguizistão
274,Henry Costa,Territórios Austrais Franceses
275,Nathan Machado,Ilha Bouvet
276,Renan Porto,Líbano
277,Luara da Luz,Malávi
278,José Barros,Samoa Americana
279,Vinicius Correia,Grécia
280,Carolina Martins,Quênia
281,Melissa das Neves,Cabo Verde
282,Ryan Vasconcelos,Libéria
283,Luiza Aragão,Colômbia
284,Cauê da Mata,Singapura
285,Luiz Otávio Mendes,Belize
286,Alice Gonçalves,Iêmen
287,Luan da Costa,Nicarágua
288,Dr. Caleb da Cruz,Roménia
289,Cecília Castro,Moldávia
290,Vitor Hugo Fonseca,Faroé
291,Kaique Nogueira,Islândia
292,Isabela Farias,Ilhas Marshall
293,Laís da Cruz,Índia
294,Mateus Cavalcanti,Ilhas Cook
295,Dr. Yan Fernandes,Argentina
296,Ryan Novais,Ilhas Cook
297,Valentina Macedo,Territórios Austrais Franceses
298,Dr. Heitor Moreira,Costa Rica
299,Gustavo Gomes,Índia
300,Clarice Carvalho,Itália
301,Hadassa Aparecida,Suíça
302,Alícia Freitas,Namíbia
303,Carlos Eduardo da Conceição,São Marinho
304,Dr. Benício da Rocha,São Vicente e Granadinas
305,Luísa Barros,Wallis e Futuna
306,Benjamin Nunes,Austrália
307,Yago da Costa,Moldávia
308,Melina Fonseca,Burundi
309,Olivia da Mota,Luxemburgo
310,Isabel Rios,Pitcairn
311,Luiz Felipe Ramos,Andorra
312,Thales Pastor,Uruguai
313,Igor Abreu,Zimbábue
314,Lucas Gabriel Pires,Venezuela
315,Sra. Mariane Rocha,Geórgia
316,Raquel Machado,Armênia
317,Caroline Garcia,Armênia
318,Dra. Eloá Campos,Guiana
319,Caroline Novais,Camboja
320,Caio Azevedo,Madagascar
321,João Casa Grande,Estônia
322,Matteo Brito,Birmânia
323,Enzo Gabriel Pacheco,Bermudas
324,Caio Pastor,Suazilândia
325,Sr. Mateus Borges,Singapura
326,Valentim Souza,Costa Rica
327,Maria Clara Rezende,Gana
328,Dra. Kamilly Barros,Etiópia
329,Lucas Gabriel Nogueira,Mauritânia
330,José Miguel Almeida,Taiwan
331,Calebe Albuquerque,Filipinas
332,Ana Cecília Melo,Emirados Árabes Unidos
333,Ana Vitória da Mata,Guiné Equatorial
334,Sr. Liam Costela,Grécia
335,Helena Novais,Croácia
336,Larissa Teixeira,Antígua e Barbuda
337,Yago Aparecida,Mayotte
338,Alexandre Novaes,Guiana
339,Laura Moraes,Territórios Austrais Franceses
340,Benício Oliveira,Cabo Verde
341,Melissa Nascimento,Itália
342,Antony da Luz,Coral Sea Islands
343,Mirella Martins,Ashmore and Cartier Islands
344,Sophie Barbosa,Arábia Saudita
345,Nicole Gonçalves,Guiné Equatorial
346,Maitê Santos,Barein
347,Fernando Pimenta,Jamaica
348,Maria Isis Moura,Croácia
349,Dra. Ísis Fernandes,Singapura
350,Allana da Costa,Anguila
351,Miguel Silveira,Salvador
352,Dra. Maria Júlia Vargas,Albânia
353,Apollo Fernandes,Cazaquistão
354,Heloisa Mendes,China
355,Luiz Gustavo Teixeira,Cuba
356,Arthur da Cruz,Santa Helena
357,Sra. Bella Costela,Birmânia
358,Theo da Conceição,França
359,Nathan Aragão,Coreia do Sul
360,Gael Henrique Viana,Nigéria
361,Eloá Barbosa,Dinamarca
362,Vitória Sales,Marianas do Norte
363,Dr. Bernardo Câmara,São Tomé e Príncipe
364,Benjamin da Cunha,Venezuela
365,Lucca Santos,Ilhas Cook
366,Brenda Cirino,Laos
367,Dom Novais,República Checa
368,Ana Júlia Aragão,Tokelau
369,Sr. Bernardo Moreira,Seicheles
370,Otto Campos,Equador
371,Srta. Giovanna Borges,Burundi
372,Dr. Dom Moura,Sérvia
373,Dr. Benicio Garcia,Serra Leoa
374,Maria Flor Silveira,Maurícia
375,Isaac Farias,Malásia
376,Theo Jesus,Guiné
377,Stephany Machado,Palau
378,Brenda da Paz,Ilha Bouvet
379,Srta. Maya Jesus,Santa Lúcia
380,Fernando Sampaio,Guiné
381,Henrique Pacheco,Zimbábue
382,Isabela Aragão,Dhekelia
383,Enzo Gabriel da Cruz,Espanha
384,Leonardo Brito,Austrália
385,Cecília Farias,Nova Zelândia
386,Ana Julia da Conceição,Birmânia
387,Benjamim Farias,Tonga
388,Cecília Nogueira,Barein
389,Enzo Machado,Gana
390,João Vitor Novaes,Zimbábue
391,Erick Borges,Tuvalu
392,Luiz Felipe Freitas,Azerbaijão
393,Benjamim da Rocha,Guam
394,Anna Liz Macedo,Cazaquistão
395,Hadassa Borges,Jan Mayen
396,Lavínia Moraes,Palau
397,Milena Câmara,Líbano
398,Ryan Costa,Marianas do Norte
399,Maria Laura Souza,Zimbábue
400,Gabriel Caldeira,Ilha do Natal
401,Rafaela Moreira,Letônia
402,Sra. Lívia Pinto,Somália
403,Maria Isis Moraes,Cuba
404,Danilo Siqueira,Quênia
405,João Miguel Viana,Hungria
406,Carlos Eduardo Almeida,China
407,Srta. Maria Helena Silveira,Benim
408,Marcos Vinicius Souza,Sérvia
409,Murilo Martins,Cazaquistão
410,Sra. Aylla Souza,Portugal
411,Pedro Miguel Alves,Suíça
412,Heitor Vasconcelos,Gana
413,Luiz Felipe Moraes,Cuba
414,Benicio Freitas,Salvador
415,Dra. Maria Cecília Fonseca,Chipre
416,Amanda Cavalcante,Coral Sea Islands
417,Dr. Paulo da Cruz,Hong Kong
418,Srta. Stephany Borges,Libéria
419,Ana Carolina Peixoto,Maldivas
420,Lorenzo Nunes,Marianas do Norte
421,Ísis Montenegro,Dinamarca
422,Aylla Costela,Hong Kong
423,Emanuelly Rodrigues,Sérvia
424,Maysa Lopes,Eslovênia
425,Antônio da Mota,Bulgária
426,Marcelo Albuquerque,Ilha Bouvet
427,Leandro Pereira,Indonésia
428,Asafe Brito,Eritreia
429,Sra. Ana Vitória Melo,Birmânia
430,Zoe Monteiro,Costa Rica
431,Dr. Vinicius Macedo,Cazaquistão
432,Antonella Ribeiro,São Pedro e Miquelon
433,Yuri Gomes,Cazaquistão
434,Nathan Cardoso,Polinésia Francesa
435,Daniel da Paz,Ilhas Virgens Americanas
436,Dra. Sofia Dias,República Centro-Africana
437,Amanda da Costa,Ucrânia
438,Diogo da Conceição,Ilhas Heard e McDonald
439,Bento Cavalcanti,Santa Helena
440,Renan Silveira,Wallis e Futuna
441,Manuella Borges,Porto Rico
442,Sophie Cavalcante,Groenlândia
443,Laura Melo,Jersey
444,Arthur Gabriel Mendonça,Estados Unidos
445,Beatriz Sousa,Niue
446,Ana Julia Melo,Andorra
447,Sr. Gabriel Farias,Seicheles
448,Alexandre Freitas,Egito
449,Bryan da Cruz,Território Britânico do Oceano Índico
450,Sra. Laís Cavalcanti,Rússia
451,Luiz Henrique Costela,Nova Zelândia
452,Dra. Heloísa Dias,Ilhas Heard e McDonald
453,Carolina Cavalcanti,São Tomé e Príncipe
454,Manuela Pinto,Antártica
455,Juan Gonçalves,Portugal
456,Luara da Mata,Moldávia
457,Ana Luiza Lopes,Ucrânia
458,Stephany Alves,Salvador
459,Maysa Rios,União Europeia
460,Rodrigo Freitas,Portugal
461,Julia Câmara,Egito
462,Diego Carvalho,Comores
463,Ana Luiza Cavalcanti,União Europeia
464,Sr. Rodrigo Leão,Costa Rica
465,Evelyn Andrade,Malásia
466,José Borges,Sri Lanka
467,Vitória Silveira,São Marinho
468,Manuella Nogueira,Hong Kong
469,Gabriel Ferreira,Bulgária
470,Ayla Silva,Nepal
471,Mateus Montenegro,Letônia
472,Cecília Freitas,Bolívia
473,José Miguel Abreu,Polônia
474,Anthony Gabriel Vargas,Somália
475,Davi Lucca Alves,Marianas do Norte
476,Sr. Gustavo Henrique Fernandes,Síria
477,Pedro Aparecida,Etiópia
478,Dra. Gabriela Pimenta,Azerbaijão
479,Paulo Costa,Sudão
480,Cauã Almeida,Vanuatu
481,Sabrina Moraes,Brasil
482,Srta. Allana Sampaio,Samoa Americana
483,Arthur Miguel Pinto,Ilhas Caiman
484,Enzo Gabriel Abreu,Síria
485,Otávio Siqueira,Ashmore and Cartier Islands
486,Isis Correia,Tailândia
487,Rafael Vieira,Porto Rico
488,Mariah Correia,Território Britânico do Oceano Índico
489,Amanda Castro,Benim
490,Ravi Lucca Rios,Suazilândia
491,Arthur Gabriel Camargo,Croácia
492,Maitê Almeida,Benim
493,José Santos,Congo-Kinshasa
494,Ágatha Abreu,Botsuana
495,Juan Aparecida,Tunísia
496,Manuela Moura,Quirguizistão
497,Murilo Rocha,Burquina Faso
498,Ana Beatriz Silva,Svalbard e Jan Mayen
499,Giovanna Ribeiro,Timor Leste
500,Henry Gabriel Silveira,Moldávia
501,Clara Leão,Tanzânia
502,Dr. Bernardo Novais,Dinamarca
503,Dra. Camila Sousa,Chade
504,Sarah Guerra,Somália
505,Pedro Cirino,São Marinho
506,Mathias Novaes,Hungria
507,Renan Abreu,Trindade e Tobago
508,Davi Luiz da Luz,Congo-Kinshasa
509,Léo Freitas,Pitcairn
510,Rodrigo Fonseca,Macau
511,Calebe Abreu,Ilhas Cook
512,João Gabriel Vieira,Noruega
513,Joaquim Gomes,Camboja
514,Gael Rocha,Ilha do Natal
515,Maria Julia Ferreira,Salvador
516,Heloisa Macedo,Pitcairn
517,João Vitor Vasconcelos,Emirados Árabes Unidos
518,Enrico Melo,Sara Ocidental
519,Isabella Viana,Macau
520,Pedro Lucas da Paz,Noruega
521,Maria Isis Garcia,Sérvia
522,Davi Luiz da Cruz,Maldivas
523,Enzo Machado,Sérvia
524,Sr. André das Neves,Botsuana
525,Felipe Pereira,Espanha
526,Gustavo Azevedo,Taiwan
527,Igor Montenegro,Filipinas
528,Luiz Fernando Aragão,Ruanda
529,Gael Carvalho,Comores
530,João Lucas da Conceição,Gâmbia
531,Lara Moraes,Tunísia
532,Pietro Jesus,Austrália
533,João Lucas Martins,Sara Ocidental
534,Eloah Fogaça,Lituânia
535,Isaque Cassiano,Estados Unidos
536,Olivia Monteiro,Ruanda
537,Luara Mendonça,Sri Lanka
538,Larissa Correia,Malásia
539,Anthony Duarte,Suécia
540,Maria Cecília Pacheco,Domínica
541,Letícia Pires,Arábia Saudita
542,Dom Camargo,Guernsey
543,Alícia Cirino,Ilhas Virgens Britânicas
544,Bianca Guerra,Iêmen
545,Sra. Catarina Pinto,Liechtenstein
546,José Pedro Rocha,Nova Caledónia
547,Carlos Eduardo Leão,Níger
548,Davi Almeida,Suriname
549,Stella da Rosa,Tonga
550,Sabrina Costela,Costa Rica
551,Eloá Duarte,Turquia
552,Pedro Henrique Carvalho,Ilhas Falkland
553,Stephany Pereira,Burundi
554,Bento Moraes,Eslováquia
555,Davi Lucas Correia,Gana
556,Sr. Carlos Eduardo Farias,Ilhas Turcas e Caicos
557,Erick Duarte,Serra Leoa
558,Lívia Costela,Birmânia
559,Maria Laura Garcia,Pitcairn
560,Erick Oliveira,Navassa Island
561,Sofia Siqueira,Noruega
562,Joaquim Cardoso,Tajiquistão
563,Sr. Liam Mendonça,Armênia
564,Dr. Benjamim Siqueira,Macedônia do Norte
565,Diogo Sales,Polinésia Francesa
566,Arthur Caldeira,Portugal
567,Vinicius Campos,Moçambique
568,Melissa Costa,Equador
569,Bruno Monteiro,Guernsey
570,Dra. Maria Luísa Ribeiro,Arábia Saudita
571,Dr. Gael Henrique Montenegro,Santa Helena
572,Bryan Macedo,Niue
573,Maria Laura Correia,Nigéria
574,Theo Ramos,Marrocos
575,Dra. Agatha Casa Grande,Chile
576,Isadora Andrade,Ilhas Salomão
577,Davi Cardoso,Lituânia
578,Emanuel Leão,Montenegro
579,Maitê Sampaio,Botsuana
580,Stella da Cunha,Papua-Nova Guiné
581,Valentim Costa,Costa do Marfim
582,Lara da Luz,Andorra
583,Matheus Nogueira,Turquia
584,Lorenzo Sampaio,Moldávia
585,Gabriel Duarte,Papua-Nova Guiné
586,Srta. Ana Teixeira,Croácia
587,Agatha Casa Grande,Ilha de Man
588,Srta. Yasmin Farias,Macau
589,Sra. Vitória Barbosa,Namíbia
590,Dr. Bryan Melo,Peru
591,Benício Fogaça,Ilhas Turcas e Caicos
592,Stella Alves,Catar
593,Ana Beatriz da Mota,Itália
594,Dr. Nathan Freitas,Dinamarca
595,Isabela Costela,Gana
596,Lorena Siqueira,Monserrate
597,Jade Nunes,Tunísia
598,Dante Viana,Costa Rica
599,Raquel Peixoto,Niue
600,Antônio Monteiro,Pitcairn
601,Daniel Porto,Itália
602,Isis Araújo,Mayotte
603,Alana Gomes,República Dominicana
604,Sr. Asafe Lima,Eslovênia
605,Srta. Sabrina Nascimento,Cazaquistão
606,Aurora Pereira,Cuba
607,Emanuel Sousa,Butão
608,Bernardo Cirino,Síria
609,Lucca Oliveira,Dhekelia
610,Allana Ferreira,São Tomé e Príncipe
611,Apollo Rodrigues,Brasil
612,Leandro Almeida,Granada
613,Enzo Gabriel da Mata,Guiné-Bissau
614,Ágatha Fernandes,Chipre
615,Liz Nascimento,Filipinas
616,Ayla Silveira,Egito
617,Dra. Alana Duarte,Laos
618,Nicolas Moreira,Indonésia
619,Srta. Alexia Cavalcante,Barein
620,Sr. Noah Pinto,São Cristóvão e Neves
621,Ryan Caldeira,Itália
622,Dr. Gabriel da Rosa,Polônia
623,Joana Moura,Uruguai
624,Lunna Nascimento,Costa Rica
625,Léo da Costa,China
626,Gabrielly Macedo,Territórios Austrais Franceses
627,Emanuel Sampaio,Tunísia
628,Noah Dias,Gana
629,Mathias Almeida,Ilhas Turcas e Caicos
630,Danilo Costa,Antilhas Holandesas
631,Helena Sá,Benim
632,Pedro Costela,Costa do Marfim
633,Daniela Azevedo,Cuba
634,Kevin Fogaça,Kuwait
635,Manuella Ramos,Bolívia
636,Maria Alice Cavalcanti,Uruguai
637,Luiz Gustavo Montenegro,Vietnam
638,Davi Lucas Duarte,Antártica
639,Emanuel Siqueira,Faroé
640,Juan da Costa,Timor Leste
641,Dra. Lara Cavalcanti,Territórios Austrais Franceses
642,Nathan Jesus,Mauritânia
643,Sra. Ana Julia Macedo,Usbequistão
644,Cecilia Freitas,Israel
645,Arthur Miguel Novaes,Congo-Kinshasa
646,Gabriel Martins,Azerbaijão
647,Kevin Mendonça,Suíça
648,Carolina da Cunha,Navassa Island
649,Sr. Liam Martins,Macedônia do Norte
650,Erick Cirino,Panamá
651,Dra. Marina Cavalcanti,Guiné
652,Calebe Aragão,Chade
653,Dr. Benjamin da Mata,Indonésia
654,Luara Ferreira,Malásia
655,Vitor Gabriel Vieira,Faroé
656,Lorena Cirino,Quiribáti
657,Sra. Camila Sampaio,China
658,Murilo Teixeira,Malávi
659,Brayan Novais,Trindade e Tobago
660,Henry Machado,Síria
661,Isaac Abreu,Trindade e Tobago
662,Henry Gabriel Moreira,Portugal
663,Maria Júlia da Mota,Austrália
664,Valentim Lima,Jordânia
665,Pedro Costa,Butão
666,Pietro Mendonça,Fiji
667,Dra. Gabrielly Martins,Wallis e Futuna
668,Bruno Cassiano,Jan Mayen
669,Augusto Borges,Vietnam
670,Sr. Thiago Fonseca,Jamaica
671,Leonardo Pereira,Marianas do Norte
672,Luiza Duarte,Equador
673,Brenda Santos,Polinésia Francesa
674,Sr. Carlos Eduardo Guerra,Ilha Bouvet
675,Eloah da Rosa,Síria
676,Ana Vitória Vasconcelos,Ilha do Natal
677,João Gabriel Abreu,Eslováquia
678,Sr. João Lucas Rodrigues,Bahamas
679,Levi Câmara,Líbia
680,Anthony Gabriel Lima,Tajiquistão
681,Catarina Pastor,Brunei
682,Mirella da Rocha,Coreia do Sul
683,Luiz Henrique Abreu,Itália
684,Isadora Barbosa,Eritreia
685,Davi Lucca Souza,Ilha Bouvet
686,Srta. Yasmin da Cruz,Niue
687,João Vitor da Rosa,Venezuela
688,Dr. Yago Araújo,Bolívia
689,Renan Pastor,Dhekelia
690,Gustavo Henrique Aragão,Espanha
691,Ravi Lucca Montenegro,Usbequistão
692,Manuela da Costa,Lesoto
693,Ayla Lima,República Dominicana
694,Josué Moreira,Uganda
695,Rafaela Lima,Seicheles
696,Lucas Gabriel Rios,Chile
697,Dr. Gustavo Cirino,Nauru
698,Lunna da Cunha,Antártica
699,Theodoro Silva,Macedônia do Norte
700,Oliver Câmara,Ilha Norfolk
701,Dra. Stephany Costela,Gana
702,Laura Pereira,Togo
703,Aurora Abreu,Taiwan
704,Dra. Laura Melo,Tuvalu
705,Enrico Novaes,Cazaquistão
706,Clara Costela,Jamaica
707,Maya Cirino,Aruba
708,Bruna Pimenta,Uruguai
709,Sra. Hellena Novais,Ilhas dos Cocos
710,Ana Liz Sá,Tailândia
711,Heitor Ferreira,Macau
712,Maria Cecília da Conceição,Ilha do Natal
713,Catarina Ribeiro,Ruanda
714,Dr. Isaac da Cruz,Guam
715,Dr. Breno Fernandes,Laos
716,Miguel Gomes,Etiópia
717,Emanuella Brito,Ilhas Virgens Americanas
718,Helena Nogueira,Fiji
719,Maria Júlia Lopes,Ilha Wake
720,Dra. Luísa Brito,Andorra
721,Clarice da Costa,Domínica
722,Mariana Ferreira,Venezuela
723,Ana Luiza Macedo,Honduras
724,Ana Julia Pires,Birmânia
725,Kamilly da Mota,Malásia
726,Murilo Correia,Ilhas Virgens Americanas
727,Francisco Castro,Bahamas
728,Maria Julia Costela,África do Sul
729,Dra. Ana Liz Pires,Equador
730,Fernando Barbosa,Moçambique
731,Enrico Monteiro,União Europeia
732,Kevin Duarte,Botsuana
733,Sra. Marina Camargo,República Dominicana
